loss_fn,epoch,train_loss,val_loss,val_nrmse,lr
mse,1,0.291419,0.416787,0.567091,0.001
mse,2,0.175942,0.292147,0.497701,0.001
mse,3,0.150706,0.313623,0.505897,0.001
mse,4,0.137594,0.27485,0.472088,0.001
mse,5,0.124989,0.298629,0.489767,0.001
mse,6,0.11866,0.24496,0.453844,0.001
mse,7,0.107349,0.27531,0.471351,0.001
mse,8,0.099238,0.292076,0.481838,0.001
mse,9,0.096651,0.291753,0.481972,0.001
mse,10,0.093684,0.266591,0.464283,0.001
mse,11,0.090067,0.254601,0.454522,0.0005
mse,12,0.081988,0.269769,0.467899,0.0005
mse,13,0.078062,0.270164,0.466517,0.0005
mse,14,0.077436,0.290362,0.479402,0.0005
mse,15,0.075312,0.283027,0.47476,0.0005
mse,16,0.074489,0.276166,0.469676,0.00025
mse,17,0.071448,0.267285,0.464882,0.00025
mse,18,0.070356,0.27201,0.467092,0.00025
mae,1,0.343597,0.363558,0.505735,0.001
mae,2,0.275614,0.372741,0.525069,0.001
mae,3,0.255867,0.385978,0.550648,0.001
mae,4,0.244682,0.347093,0.493899,0.001
mae,5,0.232678,0.366242,0.521115,0.001
mae,6,0.22423,0.332001,0.485627,0.001
mae,7,0.221024,0.340922,0.48795,0.001
mae,8,0.215587,0.336385,0.491484,0.001
mae,9,0.208179,0.3254,0.469724,0.001
mae,10,0.207797,0.343654,0.494093,0.001
mae,11,0.203394,0.340296,0.487392,0.001
mae,12,0.199656,0.338198,0.486569,0.001
mae,13,0.196765,0.316483,0.463573,0.001
mae,14,0.194821,0.31369,0.461298,0.001
mae,15,0.192501,0.31649,0.467117,0.001
mae,16,0.189918,0.317114,0.470921,0.001
mae,17,0.186822,0.318366,0.466694,0.001
mae,18,0.185588,0.326115,0.474497,0.001
mae,19,0.184331,0.316508,0.463107,0.0005
mae,20,0.177283,0.325207,0.476767,0.0005
mae,21,0.175635,0.323234,0.478053,0.0005
mae,22,0.174547,0.32643,0.479402,0.0005
mae,23,0.171747,0.328708,0.482976,0.0005
mae,24,0.171442,0.332085,0.487768,0.00025
mae,25,0.167113,0.326719,0.478601,0.00025
mae,26,0.16695,0.32106,0.472415,0.00025
huber,1,0.124115,0.166242,0.538396,0.001
huber,2,0.08222,0.124267,0.476798,0.001
huber,3,0.074262,0.133553,0.484525,0.001
huber,4,0.065732,0.138625,0.496669,0.001
huber,5,0.059502,0.123595,0.471679,0.001
huber,6,0.055456,0.1288,0.48713,0.001
huber,7,0.052881,0.132554,0.48762,0.001
huber,8,0.049942,0.123671,0.471185,0.001
huber,9,0.04749,0.123705,0.472743,0.001
huber,10,0.045666,0.116831,0.46105,0.001
huber,11,0.044665,0.127203,0.475397,0.001
huber,12,0.042514,0.124993,0.474604,0.001
huber,13,0.041823,0.11397,0.449079,0.001
huber,14,0.040748,0.121578,0.465803,0.001
huber,15,0.038281,0.122636,0.469725,0.001
huber,16,0.037729,0.131233,0.487568,0.001
huber,17,0.036951,0.118392,0.459364,0.001
huber,18,0.03595,0.121516,0.464361,0.0005
huber,19,0.033707,0.129346,0.480543,0.0005
huber,20,0.032882,0.131592,0.482743,0.0005
huber,21,0.032165,0.116294,0.454759,0.0005
huber,22,0.032524,0.123879,0.470697,0.0005
huber,23,0.032048,0.127502,0.475983,0.00025
huber,24,0.030389,0.12228,0.467451,0.00025
huber,25,0.029852,0.118857,0.461159,0.00025
