k,loss_fn,epoch,train_loss,val_loss,val_nrmse,val_r2_dv,val_r2_yaw,lr
1,huber,1,0.203339,0.225211,0.673506,0.03458,0.88027,0.001
1,huber,2,0.186088,0.227955,0.679732,0.043,0.86493,0.001
1,huber,3,0.178181,0.217693,0.653608,0.05898,0.90192,0.001
1,huber,4,0.172446,0.215299,0.652044,0.07477,0.89732,0.001
1,huber,5,0.170322,0.212548,0.644956,0.07773,0.90712,0.001
1,huber,6,0.167415,0.212691,0.644428,0.07452,0.90931,0.001
1,huber,7,0.165839,0.211249,0.645245,0.09326,0.89977,0.001
1,huber,8,0.164025,0.217307,0.647438,0.05788,0.91183,0.001
1,huber,9,0.163661,0.21034,0.638665,0.08292,0.91434,0.001
1,huber,10,0.161528,0.222719,0.662204,0.03273,0.89991,0.001
1,huber,11,0.161239,0.213561,0.642291,0.07887,0.91067,0.001
1,huber,12,0.159308,0.218273,0.651901,0.05017,0.90837,0.001
1,huber,13,0.157923,0.21461,0.646327,0.06967,0.90851,0.001
1,huber,14,0.157675,0.212263,0.644467,0.07964,0.90704,0.0005
1,huber,15,0.153963,0.216098,0.647847,0.05355,0.91303,0.0005
1,huber,16,0.153032,0.21773,0.647952,0.04629,0.91586,0.0005
1,huber,17,0.15115,0.213078,0.641488,0.07056,0.91534,0.0005
1,huber,18,0.150644,0.212481,0.641699,0.06644,0.91672,0.0005
1,huber,19,0.150043,0.216556,0.649923,0.05508,0.90928,0.00025
1,huber,20,0.147717,0.216854,0.648841,0.04447,0.9153,0.00025
1,huber,21,0.14706,0.217386,0.649073,0.04328,0.91545,0.00025
5,huber,1,0.179421,0.154372,0.55355,0.20348,0.88572,0.001
5,huber,2,0.141042,0.14127,0.52769,0.30002,0.88514,0.001
5,huber,3,0.124754,0.138382,0.519375,0.3133,0.89279,0.001
5,huber,4,0.119244,0.138933,0.528495,0.26877,0.89813,0.001
5,huber,5,0.114335,0.148993,0.531757,0.26109,0.89626,0.001
5,huber,6,0.109412,0.135693,0.508408,0.3329,0.90144,0.001
5,huber,7,0.105886,0.135101,0.501564,0.34028,0.90873,0.001
5,huber,8,0.105146,0.131935,0.504757,0.34174,0.90317,0.001
5,huber,9,0.10017,0.135972,0.512657,0.33998,0.89128,0.001
5,huber,10,0.097873,0.135543,0.513652,0.3086,0.90406,0.001
5,huber,11,0.095378,0.127566,0.498339,0.36426,0.90294,0.001
5,huber,12,0.093459,0.134468,0.509591,0.31889,0.90584,0.001
5,huber,13,0.089945,0.129986,0.501948,0.34361,0.90668,0.001
5,huber,14,0.089044,0.129592,0.503168,0.35454,0.89981,0.001
5,huber,15,0.087503,0.127831,0.493096,0.37641,0.9055,0.001
5,huber,16,0.085785,0.126347,0.487947,0.38479,0.90954,0.001
5,huber,17,0.085014,0.135273,0.50557,0.33286,0.90588,0.001
5,huber,18,0.083621,0.129046,0.496019,0.36425,0.90653,0.001
5,huber,19,0.081137,0.128768,0.498258,0.36805,0.90131,0.001
5,huber,20,0.079794,0.128449,0.496265,0.36473,0.90594,0.001
5,huber,21,0.078717,0.13378,0.502559,0.33944,0.90759,0.0005
5,huber,22,0.074671,0.128501,0.494536,0.36806,0.90708,0.0005
5,huber,23,0.074189,0.129653,0.497944,0.35847,0.90618,0.0005
5,huber,24,0.072795,0.130116,0.496191,0.35951,0.9084,0.0005
5,huber,25,0.072808,0.131466,0.497983,0.34611,0.91158,0.0005
5,huber,26,0.071335,0.132243,0.501439,0.34542,0.90666,0.00025
5,huber,27,0.070037,0.13199,0.500892,0.34331,0.90842,0.00025
5,huber,28,0.068988,0.131006,0.500223,0.34319,0.90949,0.00025
10,huber,1,0.175762,0.146198,0.541781,0.25311,0.8899,0.001
10,huber,2,0.133441,0.130879,0.504847,0.36502,0.89808,0.001
10,huber,3,0.115859,0.123935,0.492696,0.41185,0.89479,0.001
10,huber,4,0.107688,0.125079,0.500121,0.39495,0.8911,0.001
10,huber,5,0.101779,0.125586,0.499002,0.38103,0.89976,0.001
10,huber,6,0.098493,0.124347,0.490987,0.39909,0.90375,0.001
10,huber,7,0.093412,0.129159,0.50849,0.35365,0.89764,0.001
10,huber,8,0.089727,0.125691,0.502592,0.36743,0.90053,0.0005
10,huber,9,0.084378,0.121572,0.484572,0.42116,0.90314,0.0005
10,huber,10,0.080576,0.122996,0.490677,0.39322,0.90699,0.0005
10,huber,11,0.079305,0.123009,0.497743,0.37016,0.90681,0.0005
10,huber,12,0.077998,0.120606,0.483841,0.41999,0.90484,0.0005
10,huber,13,0.076474,0.122573,0.497974,0.37106,0.90604,0.0005
10,huber,14,0.074883,0.12231,0.493261,0.38283,0.90785,0.0005
10,huber,15,0.07454,0.126645,0.499791,0.35927,0.90863,0.0005
10,huber,16,0.072607,0.122379,0.494465,0.38389,0.90552,0.0005
10,huber,17,0.070614,0.122852,0.497346,0.364,0.9102,0.00025
10,huber,18,0.06861,0.121875,0.49033,0.38858,0.90966,0.00025
