k,loss_fn,epoch,train_loss,val_loss,val_nrmse,val_r2_dv,val_r2_yaw,lr
5,mse,1,0.480504,0.398589,0.562933,0.1822,0.87914,0.001
5,mse,2,0.373675,0.355856,0.537689,0.28063,0.87719,0.001
5,mse,3,0.323097,0.325973,0.512188,0.33659,0.89366,0.001
5,mse,4,0.304461,0.337463,0.517955,0.30758,0.89772,0.001
5,mse,5,0.288942,0.357613,0.533385,0.26658,0.89114,0.001
5,mse,6,0.279271,0.335691,0.516604,0.31124,0.89823,0.001
5,mse,7,0.268537,0.32162,0.503261,0.33617,0.90796,0.001
5,mse,8,0.264104,0.332681,0.511495,0.31277,0.90558,0.001
5,mse,9,0.254947,0.344947,0.525226,0.29497,0.89164,0.001
5,mse,10,0.252772,0.327285,0.508114,0.32519,0.90534,0.001
5,mse,11,0.247371,0.331887,0.512755,0.3175,0.90152,0.001
5,mse,12,0.2422,0.329532,0.511596,0.32346,0.90068,0.0005
5,mse,13,0.224666,0.324698,0.506189,0.33067,0.90589,0.0005
5,mse,14,0.222355,0.316172,0.49889,0.34727,0.90972,0.0005
5,mse,15,0.219908,0.31691,0.501556,0.34913,0.90482,0.0005
5,mse,16,0.216169,0.315499,0.499269,0.35011,0.90789,0.0005
5,mse,17,0.214302,0.329233,0.5081,0.31871,0.90819,0.0005
5,mse,18,0.211556,0.33354,0.511707,0.31027,0.90634,0.0005
5,mse,19,0.209778,0.319792,0.501004,0.33863,0.9103,0.0005
5,mse,20,0.207158,0.332718,0.510169,0.31052,0.90858,0.0005
5,mse,21,0.205925,0.331403,0.512093,0.31801,0.90234,0.00025
5,mse,22,0.198553,0.332333,0.510209,0.31185,0.90795,0.00025
5,mse,23,0.197346,0.330827,0.508829,0.31462,0.90885,0.00025
5,mse,24,0.195102,0.322624,0.502389,0.33147,0.91131,0.00025
5,mse,25,0.19601,0.330298,0.507112,0.31367,0.91183,0.00025
5,mse,26,0.193155,0.333907,0.510355,0.30692,0.90983,0.000125
5,mse,27,0.189927,0.328589,0.506122,0.31772,0.9116,0.000125
5,mse,28,0.188233,0.329138,0.506866,0.31708,0.91076,0.000125
5,mae,1,0.409051,0.377016,0.570489,0.15895,0.87639,0.001
5,mae,2,0.360943,0.359891,0.540121,0.27256,0.87683,0.001
5,mae,3,0.333538,0.353213,0.536223,0.28993,0.87522,0.001
5,mae,4,0.325342,0.343048,0.513637,0.32774,0.89545,0.001
5,mae,5,0.317289,0.352348,0.524263,0.29804,0.89182,0.001
5,mae,6,0.310276,0.343021,0.511719,0.32075,0.9017,0.001
5,mae,7,0.304198,0.333334,0.50196,0.34896,0.90426,0.001
5,mae,8,0.299855,0.33665,0.512494,0.3123,0.90424,0.001
5,mae,9,0.294608,0.342501,0.516084,0.3147,0.89749,0.001
5,mae,10,0.291651,0.341815,0.518128,0.28889,0.90568,0.001
5,mae,11,0.288663,0.334887,0.505986,0.35364,0.89571,0.001
5,mae,12,0.283266,0.339637,0.505379,0.33878,0.90354,0.0005
5,mae,13,0.275613,0.335804,0.500603,0.34132,0.90973,0.0005
5,mae,14,0.273786,0.330043,0.490207,0.37322,0.91132,0.0005
5,mae,15,0.27202,0.339437,0.496852,0.35465,0.90955,0.0005
5,mae,16,0.269233,0.329119,0.488231,0.38532,0.90887,0.0005
5,mae,17,0.267438,0.333865,0.493918,0.36941,0.90742,0.0005
5,mae,18,0.26615,0.331481,0.492011,0.37507,0.90777,0.0005
5,mae,19,0.264393,0.333208,0.493898,0.36003,0.91162,0.0005
5,mae,20,0.262919,0.330738,0.492393,0.37779,0.90595,0.0005
5,mae,21,0.262038,0.331399,0.494511,0.37259,0.90506,0.00025
5,mae,22,0.256518,0.331189,0.49436,0.37005,0.90645,0.00025
5,mae,23,0.255078,0.328433,0.489253,0.38543,0.90727,0.00025
5,mae,24,0.254425,0.332371,0.489857,0.381,0.90836,0.00025
5,mae,25,0.254605,0.328391,0.490178,0.37895,0.9088,0.00025
5,mae,26,0.252175,0.330308,0.494236,0.36755,0.90777,0.00025
5,mae,27,0.252075,0.334373,0.49503,0.36322,0.9085,0.00025
5,mae,28,0.250716,0.330484,0.491031,0.38099,0.90658,0.00025
5,mae,29,0.251782,0.332394,0.496109,0.36265,0.90711,0.00025
5,mae,30,0.24937,0.328747,0.488856,0.38829,0.90656,0.000125
5,mae,31,0.247506,0.331632,0.490651,0.37607,0.90939,0.000125
5,mae,32,0.247076,0.331426,0.493992,0.36511,0.90923,0.000125
5,mae,33,0.246152,0.331538,0.49119,0.37673,0.90827,0.000125
5,mae,34,0.24634,0.331192,0.492715,0.37461,0.9069,0.000125
5,mae,35,0.245922,0.327914,0.489021,0.38395,0.9083,0.000125
5,mae,36,0.245195,0.330566,0.492564,0.37344,0.90767,0.000125
5,mae,37,0.245072,0.330232,0.494801,0.36461,0.90823,0.000125
5,mae,38,0.245049,0.332994,0.496853,0.36364,0.90553,0.000125
5,mae,39,0.244286,0.329813,0.49157,0.37497,0.90849,0.000125
5,mae,40,0.243509,0.331549,0.494814,0.36343,0.90874,6.25e-05
5,mae,41,0.242802,0.330677,0.493314,0.37075,0.90774,6.25e-05
5,mae,42,0.24219,0.332308,0.492753,0.37107,0.90845,6.25e-05
5,mae,43,0.241772,0.331525,0.491946,0.37284,0.90888,6.25e-05
5,mae,44,0.242042,0.331079,0.491361,0.37778,0.90753,6.25e-05
5,mae,45,0.241157,0.331891,0.493962,0.36804,0.90797,3.125e-05
5,mae,46,0.241272,0.332426,0.494956,0.36416,0.90819,3.125e-05
5,mae,47,0.240263,0.331891,0.494477,0.36489,0.9086,3.125e-05
5,huber,1,0.179421,0.154372,0.55355,0.20348,0.88572,0.001
5,huber,2,0.141042,0.14127,0.52769,0.30002,0.88514,0.001
5,huber,3,0.124754,0.138382,0.519375,0.3133,0.89279,0.001
5,huber,4,0.119244,0.138933,0.528495,0.26877,0.89813,0.001
5,huber,5,0.114335,0.148993,0.531757,0.26109,0.89626,0.001
5,huber,6,0.109412,0.135693,0.508408,0.3329,0.90144,0.001
5,huber,7,0.105886,0.135101,0.501564,0.34028,0.90873,0.001
5,huber,8,0.105146,0.131935,0.504757,0.34174,0.90317,0.001
5,huber,9,0.10017,0.135972,0.512657,0.33998,0.89128,0.001
5,huber,10,0.097873,0.135543,0.513652,0.3086,0.90406,0.001
