feature_set,loss_fn,epoch,train_loss,val_loss,val_nrmse,val_r2_dv,val_r2_yaw,lr
A_imu6,huber,1,0.179421,0.154372,0.55355,0.20348,0.88572,0.001
A_imu6,huber,2,0.141042,0.14127,0.52769,0.30002,0.88514,0.001
A_imu6,huber,3,0.124754,0.138382,0.519375,0.3133,0.89279,0.001
A_imu6,huber,4,0.119244,0.138933,0.528495,0.26877,0.89813,0.001
A_imu6,huber,5,0.114335,0.148993,0.531757,0.26109,0.89626,0.001
A_imu6,huber,6,0.109412,0.135693,0.508408,0.3329,0.90144,0.001
A_imu6,huber,7,0.105886,0.135101,0.501564,0.34028,0.90873,0.001
A_imu6,huber,8,0.105146,0.131935,0.504757,0.34174,0.90317,0.001
A_imu6,huber,9,0.10017,0.135972,0.512657,0.33998,0.89128,0.001
A_imu6,huber,10,0.097873,0.135543,0.513652,0.3086,0.90406,0.001
A_imu6,huber,11,0.095378,0.127566,0.498339,0.36426,0.90294,0.001
A_imu6,huber,12,0.093459,0.134468,0.509591,0.31889,0.90584,0.001
A_imu6,huber,13,0.089945,0.129986,0.501948,0.34361,0.90668,0.001
A_imu6,huber,14,0.089044,0.129592,0.503168,0.35454,0.89981,0.001
A_imu6,huber,15,0.087503,0.127831,0.493096,0.37641,0.9055,0.001
A_imu6,huber,16,0.085785,0.126347,0.487947,0.38479,0.90954,0.001
A_imu6,huber,17,0.085014,0.135273,0.50557,0.33286,0.90588,0.001
A_imu6,huber,18,0.083621,0.129046,0.496019,0.36425,0.90653,0.001
A_imu6,huber,19,0.081137,0.128768,0.498258,0.36805,0.90131,0.001
A_imu6,huber,20,0.079794,0.128449,0.496265,0.36473,0.90594,0.001
A_imu6,huber,21,0.078717,0.13378,0.502559,0.33944,0.90759,0.0005
A_imu6,huber,22,0.074671,0.128501,0.494536,0.36806,0.90708,0.0005
A_imu6,huber,23,0.074189,0.129653,0.497944,0.35847,0.90618,0.0005
A_imu6,huber,24,0.072795,0.130116,0.496191,0.35951,0.9084,0.0005
A_imu6,huber,25,0.072808,0.131466,0.497983,0.34611,0.91158,0.0005
A_imu6,huber,26,0.071335,0.132243,0.501439,0.34542,0.90666,0.00025
A_imu6,huber,27,0.070037,0.13199,0.500892,0.34331,0.90842,0.00025
A_imu6,huber,28,0.068988,0.131006,0.500223,0.34319,0.90949,0.00025
B_imu_linacc,huber,1,0.180465,0.153681,0.552924,0.20618,0.88558,0.001
B_imu_linacc,huber,2,0.140312,0.139703,0.522377,0.32576,0.88176,0.001
B_imu_linacc,huber,3,0.123728,0.137644,0.522195,0.32572,0.88209,0.001
B_imu_linacc,huber,4,0.118942,0.134564,0.51566,0.31992,0.89578,0.001
B_imu_linacc,huber,5,0.111976,0.144733,0.531825,0.28623,0.88466,0.001
B_imu_linacc,huber,6,0.109431,0.131832,0.507684,0.34535,0.89687,0.001
B_imu_linacc,huber,7,0.103679,0.139774,0.514271,0.32029,0.89785,0.001
B_imu_linacc,huber,8,0.102342,0.133933,0.509254,0.3452,0.89439,0.001
B_imu_linacc,huber,9,0.098531,0.134085,0.513106,0.36694,0.87709,0.001
B_imu_linacc,huber,10,0.096841,0.13129,0.508155,0.34311,0.89716,0.001
B_imu_linacc,huber,11,0.094918,0.132208,0.509127,0.33822,0.89787,0.001
B_imu_linacc,huber,12,0.091499,0.13068,0.501101,0.36457,0.89842,0.001
B_imu_linacc,huber,13,0.089152,0.131104,0.507174,0.36144,0.89001,0.001
B_imu_linacc,huber,14,0.08725,0.127641,0.495725,0.3938,0.89303,0.001
B_imu_linacc,huber,15,0.086157,0.130162,0.497299,0.38824,0.89319,0.001
B_imu_linacc,huber,16,0.084357,0.129728,0.502684,0.36049,0.89781,0.001
B_imu_linacc,huber,17,0.083597,0.129801,0.503133,0.36104,0.89683,0.001
B_imu_linacc,huber,18,0.082256,0.12456,0.488567,0.40796,0.89768,0.001
B_imu_linacc,huber,19,0.080955,0.126274,0.489883,0.40075,0.89908,0.001
B_imu_linacc,huber,20,0.078996,0.133869,0.50511,0.35267,0.89759,0.001
B_imu_linacc,huber,21,0.078328,0.131059,0.499708,0.36573,0.9001,0.001
B_imu_linacc,huber,22,0.077365,0.134138,0.506651,0.344,0.89915,0.001
B_imu_linacc,huber,23,0.076967,0.134193,0.507483,0.34475,0.89747,0.0005
B_imu_linacc,huber,24,0.07225,0.131145,0.502121,0.35422,0.90162,0.0005
B_imu_linacc,huber,25,0.071468,0.129467,0.498822,0.36511,0.90178,0.0005
B_imu_linacc,huber,26,0.070521,0.13128,0.4997,0.36479,0.90055,0.0005
B_imu_linacc,huber,27,0.069379,0.131963,0.500383,0.35914,0.90209,0.0005
B_imu_linacc,huber,28,0.070221,0.130397,0.500308,0.36229,0.90075,0.00025
B_imu_linacc,huber,29,0.06808,0.130885,0.501075,0.35915,0.90099,0.00025
B_imu_linacc,huber,30,0.067357,0.128981,0.494081,0.38082,0.90192,0.00025
C_imu_mag,huber,1,0.178907,0.151383,0.552752,0.20906,0.88458,0.001
C_imu_mag,huber,2,0.136055,0.142103,0.528191,0.30633,0.88124,0.001
C_imu_mag,huber,3,0.123864,0.135439,0.516464,0.3187,0.89504,0.001
C_imu_mag,huber,4,0.11709,0.134764,0.52519,0.28501,0.89623,0.001
C_imu_mag,huber,5,0.112346,0.140417,0.528565,0.25826,0.90257,0.001
C_imu_mag,huber,6,0.106735,0.130589,0.507096,0.33249,0.90368,0.001
C_imu_mag,huber,7,0.103264,0.137563,0.522341,0.29353,0.89701,0.001
C_imu_mag,huber,8,0.100814,0.135236,0.51774,0.28943,0.90605,0.001
C_imu_mag,huber,9,0.098055,0.134885,0.518445,0.28893,0.90518,0.001
C_imu_mag,huber,10,0.095184,0.13119,0.51201,0.30117,0.90977,0.001
C_imu_mag,huber,11,0.092959,0.13304,0.519121,0.29858,0.8999,0.0005
C_imu_mag,huber,12,0.08662,0.130142,0.509658,0.30663,0.911,0.0005
C_imu_mag,huber,13,0.0853,0.130908,0.511142,0.31836,0.90367,0.0005
C_imu_mag,huber,14,0.08391,0.128895,0.50773,0.30846,0.91311,0.0005
C_imu_mag,huber,15,0.082767,0.132983,0.511404,0.30326,0.9098,0.0005
C_imu_mag,huber,16,0.08159,0.13265,0.514488,0.29249,0.9097,0.0005
C_imu_mag,huber,17,0.08099,0.12843,0.50276,0.33935,0.90732,0.0005
C_imu_mag,huber,18,0.080318,0.132074,0.509874,0.31328,0.90784,0.0005
C_imu_mag,huber,19,0.078873,0.130341,0.50506,0.31864,0.91279,0.0005
C_imu_mag,huber,20,0.078224,0.131254,0.50708,0.32316,0.90782,0.0005
C_imu_mag,huber,21,0.077888,0.13112,0.510542,0.30691,0.90955,0.0005
C_imu_mag,huber,22,0.076619,0.129439,0.506258,0.32285,0.9092,0.00025
C_imu_mag,huber,23,0.074399,0.131093,0.506416,0.32013,0.91013,0.00025
C_imu_mag,huber,24,0.073376,0.132201,0.508632,0.30991,0.91115,0.00025
C_imu_mag,huber,25,0.072926,0.131626,0.510793,0.30058,0.91185,0.00025
C_imu_mag,huber,26,0.072507,0.133097,0.51294,0.29434,0.91125,0.00025
C_imu_mag,huber,27,0.071538,0.135021,0.513857,0.29167,0.91099,0.000125
C_imu_mag,huber,28,0.070609,0.130668,0.507631,0.31561,0.91024,0.000125
C_imu_mag,huber,29,0.070374,0.132391,0.511952,0.30006,0.91033,0.000125
D_all11,huber,1,0.178672,0.161512,0.566168,0.15262,0.88665,0.001
D_all11,huber,2,0.139938,0.13981,0.524122,0.31177,0.88558,0.001
D_all11,huber,3,0.123286,0.133601,0.513023,0.33953,0.89089,0.001
D_all11,huber,4,0.118022,0.135224,0.519066,0.29321,0.90235,0.001
D_all11,huber,5,0.111633,0.140339,0.527619,0.30975,0.88056,0.001
D_all11,huber,6,0.107323,0.134289,0.510425,0.34485,0.89264,0.001
D_all11,huber,7,0.104338,0.131966,0.502266,0.34787,0.90428,0.001
D_all11,huber,8,0.098897,0.131557,0.512449,0.31419,0.90348,0.001
D_all11,huber,9,0.096446,0.130016,0.505479,0.3505,0.89801,0.001
D_all11,huber,10,0.093837,0.129172,0.513139,0.32831,0.89599,0.001
D_all11,huber,11,0.091583,0.128068,0.506049,0.35589,0.89454,0.001
D_all11,huber,12,0.089264,0.126007,0.494641,0.38217,0.9004,0.001
D_all11,huber,13,0.087999,0.125484,0.495859,0.39204,0.89368,0.001
D_all11,huber,14,0.085552,0.124801,0.492535,0.39835,0.89599,0.001
D_all11,huber,15,0.083419,0.127593,0.498955,0.37804,0.89546,0.001
D_all11,huber,16,0.082493,0.128013,0.493964,0.37074,0.90675,0.001
D_all11,huber,17,0.080999,0.128141,0.497347,0.36027,0.90629,0.001
D_all11,huber,18,0.079624,0.122138,0.482698,0.41201,0.90498,0.001
D_all11,huber,19,0.077747,0.127661,0.494513,0.37803,0.90255,0.001
