feature_set,loss_fn,epoch,train_loss,val_loss,val_nrmse,val_r2_dv,val_r2_yaw,lr
D_all11,mse,1,0.476022,0.40839,0.568329,0.15932,0.88001,0.001
D_all11,mse,2,0.360009,0.346445,0.532682,0.30388,0.87458,0.001
D_all11,mse,3,0.314607,0.319903,0.511057,0.35566,0.88634,0.001
D_all11,mse,4,0.298978,0.327911,0.510589,0.32721,0.90057,0.001
D_all11,mse,5,0.286566,0.320629,0.509242,0.34975,0.89225,0.001
D_all11,mse,6,0.280951,0.309359,0.501726,0.37534,0.89224,0.001
D_all11,mse,7,0.266323,0.307443,0.496913,0.37343,0.90092,0.001
D_all11,mse,8,0.25755,0.320435,0.506685,0.34588,0.89823,0.001
D_all11,mse,9,0.249991,0.319231,0.508897,0.35398,0.89078,0.001
D_all11,mse,10,0.249754,0.316195,0.503504,0.35485,0.89914,0.001
D_all11,mse,11,0.240399,0.307903,0.500017,0.37732,0.89408,0.001
D_all11,mse,12,0.234557,0.321165,0.504591,0.33985,0.90428,0.0005
D_all11,mse,13,0.219887,0.309491,0.49857,0.36927,0.90025,0.0005
D_all11,mse,14,0.215988,0.306042,0.492897,0.37147,0.90805,0.0005
D_all11,mse,15,0.212259,0.315815,0.500469,0.35101,0.90565,0.0005
D_all11,mse,16,0.21017,0.311788,0.495964,0.35718,0.90977,0.0005
D_all11,mse,17,0.20694,0.307715,0.494529,0.36851,0.90689,0.0005
D_all11,mse,18,0.206504,0.303849,0.492326,0.37794,0.90598,0.0005
D_all11,mse,19,0.202405,0.306228,0.493203,0.37134,0.90764,0.0005
D_all11,mse,20,0.200674,0.310682,0.495424,0.36001,0.90934,0.0005
D_all11,mse,21,0.198876,0.315359,0.500468,0.35255,0.90496,0.0005
D_all11,mse,22,0.199871,0.322049,0.505396,0.33822,0.90376,0.0005
D_all11,mse,23,0.196144,0.30356,0.490841,0.37648,0.90891,0.0005
D_all11,mse,24,0.193428,0.304597,0.49089,0.37309,0.91036,0.0005
D_all11,mse,25,0.198462,0.319677,0.501254,0.3394,0.90959,0.0005
D_all11,mse,26,0.190176,0.327375,0.507574,0.32401,0.90669,0.0005
D_all11,mse,27,0.189176,0.32655,0.506275,0.32466,0.90839,0.0005
D_all11,mse,28,0.187953,0.314131,0.498219,0.35298,0.90821,0.00025
D_all11,mse,29,0.182192,0.325442,0.505279,0.32674,0.909,0.00025
D_all11,mse,30,0.179906,0.305827,0.490864,0.36894,0.91223,0.00025
D_all11,mse,31,0.179581,0.303762,0.489972,0.37442,0.91114,0.00025
D_all11,mse,32,0.177016,0.315442,0.497268,0.34713,0.9122,0.00025
D_all11,mse,33,0.175567,0.318533,0.499346,0.34018,0.91211,0.000125
D_all11,mse,34,0.172878,0.313825,0.498561,0.35456,0.90699,0.000125
D_all11,mse,35,0.172861,0.311109,0.495261,0.35833,0.91032,0.000125
D_all11,mae,1,0.408767,0.380643,0.571807,0.15869,0.87418,0.001
D_all11,mae,2,0.35689,0.356129,0.531114,0.29203,0.88311,0.001
D_all11,mae,3,0.33154,0.345804,0.512162,0.33434,0.89477,0.001
