pair_base,n,driver_id,phone_id,r_linx_vlong,r_linx_vlat,r_gyrox_vyaw,r_liny_vlong,r_liny_vlat,r_gyroy_vyaw,r_linz_vlong,r_linz_vlat,r_gyroz_vyaw
m,105974,B,HuaweiP20Pro,0.146,0.284,0.066,-0.065,0.359,0.636,0.01,0.014,-0.133
s1,51746,A,HuaweiP20Pro,0.314,0.259,0.071,-0.293,0.278,0.935,0.008,-0.016,-0.342
s2,93876,A,HuaweiP20Pro,-0.057,0.007,-0.001,0.029,-0.045,0.0,-0.004,-0.001,-0.005
s3a,24621,A,HuaweiP20Pro,0.04,-0.007,0.001,-0.004,0.002,0.2,0.008,0.019,-0.013
s3b,6813,A,HuaweiP20Pro,0.068,0.02,-0.0,-0.008,0.057,0.311,-0.037,-0.027,-0.042
s3c,37183,A,HuaweiP20Pro,-0.018,0.077,0.047,-0.037,0.046,0.949,0.007,0.002,0.256
s4,94600,A,HuaweiP20Pro,0.053,0.033,0.002,-0.057,0.028,0.153,0.003,-0.0,-0.017
vta10,1502,E,HuaweiP20Pro,0.048,0.282,-0.039,-0.226,0.076,0.209,-0.024,-0.037,-0.0
vta11,510,E,HuaweiP20Pro,0.041,0.219,-0.079,-0.257,0.651,0.643,-0.052,-0.074,-0.066
vta12,610,E,HuaweiP20Pro,0.674,-0.182,-0.05,0.025,0.264,0.093,0.156,-0.086,0.052
vta13,404,E,HuaweiP20Pro,0.565,-0.197,0.004,-0.091,0.529,0.201,0.007,0.003,0.066
vta14,2885,E,HuaweiP20Pro,0.079,-0.126,-0.009,0.052,0.109,0.086,-0.005,0.014,0.01
vta15,833,E,HuaweiP20Pro,-0.056,-0.087,0.008,-0.015,-0.061,0.047,0.04,-0.046,0.003
vta16,11335,E,HuaweiP20Pro,-0.011,-0.08,0.003,0.055,-0.104,0.165,-0.007,-0.004,-0.013
vta17,4519,E,HuaweiP20Pro,-0.048,0.1,-0.021,-0.101,-0.051,0.141,-0.018,0.003,0.035
vta1a,25676,E,HuaweiP20Pro,0.002,0.005,-0.001,0.018,-0.016,-0.015,0.021,-0.017,-0.001
vta1b,953,E,HuaweiP20Pro,0.539,-0.056,-0.015,0.057,0.153,0.114,-0.091,-0.025,0.042
vta2,10991,E,HuaweiP20Pro,0.252,0.074,0.002,-0.017,0.141,0.227,-0.013,0.026,0.005
vta20,3223,E,HuaweiP20Pro,-0.083,0.071,0.025,-0.011,0.042,0.038,0.07,-0.065,-0.027
vta21,2079,E,HuaweiP20Pro,0.05,0.054,0.014,-0.038,-0.012,0.022,0.007,-0.013,-0.023
vta22,1564,E,HuaweiP20Pro,-0.056,0.024,-0.019,-0.023,-0.025,-0.02,0.018,-0.015,0.029
vta23,1110,E,HuaweiP20Pro,0.083,0.056,-0.021,-0.094,0.083,0.081,0.022,-0.053,0.017
vta24,1171,E,HuaweiP20Pro,0.357,0.087,-0.046,-0.046,-0.078,0.433,0.004,-0.073,-0.008
vta25,646,E,HuaweiP20Pro,0.414,-0.129,0.053,-0.19,0.213,0.773,0.049,0.055,-0.02
vta26,1935,E,HuaweiP20Pro,-0.008,0.014,-0.004,0.114,0.003,0.044,0.046,-0.032,0.026
vta27,2540,E,HuaweiP20Pro,-0.001,-0.036,-0.003,0.036,-0.09,0.016,0.014,-0.021,-0.006
vta28,4210,E,HuaweiP20Pro,-0.05,-0.025,0.007,0.035,-0.135,0.253,0.003,0.009,0.013
vta29,23705,E,HuaweiP20Pro,0.011,0.023,-0.007,0.019,0.023,0.029,0.025,0.005,0.005
vta3,645,E,HuaweiP20Pro,-0.043,0.017,-0.058,-0.055,-0.053,-0.193,-0.063,0.009,0.005
vta30,17136,E,HuaweiP20Pro,0.038,0.029,0.003,0.02,0.025,0.073,-0.006,-0.003,-0.008
vta4,1789,E,HuaweiP20Pro,0.05,-0.015,-0.017,0.008,0.042,0.135,-0.041,0.046,-0.031
vta5,307,E,HuaweiP20Pro,0.463,-0.177,0.117,-0.11,0.459,0.399,-0.097,0.3,-0.066
vta6,1376,E,HuaweiP20Pro,0.126,0.041,0.02,-0.022,0.102,0.026,-0.019,0.05,0.011
vta7,840,E,HuaweiP20Pro,0.509,-0.18,0.018,0.134,0.244,0.21,0.011,0.133,-0.029
vta8,3676,E,HuaweiP20Pro,0.126,0.158,-0.013,-0.024,0.117,0.171,0.003,-0.048,0.022
vtb1,32459,E,HuaweiP20Pro,0.037,0.068,0.002,-0.082,0.102,0.166,0.007,-0.01,-0.006
vtb11,361,E,HuaweiP20Pro,0.095,0.011,0.015,-0.091,0.042,0.005,-0.005,0.024,0.001
vtb12,447,E,HuaweiP20Pro,0.576,0.265,-0.033,-0.21,0.534,0.58,0.076,0.011,-0.108
vtb2,5712,E,HuaweiP20Pro,0.095,0.121,-0.017,-0.063,0.017,0.204,0.017,0.014,-0.038
vtb3,8240,E,HuaweiP20Pro,0.105,0.027,-0.02,-0.119,0.075,0.311,-0.015,0.035,-0.032
vtb4,556,E,HuaweiP20Pro,0.004,0.007,0.033,-0.066,-0.065,0.11,-0.064,-0.026,0.005
vtb5,64388,E,HuaweiP20Pro,-0.011,0.003,0.002,0.007,-0.009,-0.007,0.006,0.002,0.001
vtb6,498,E,HuaweiP20Pro,0.146,0.118,0.008,-0.177,0.052,0.096,0.019,0.008,-0.036
vtb7,461,E,HuaweiP20Pro,0.184,0.277,0.047,-0.377,0.368,0.19,0.039,0.021,-0.06
vtb8,668,E,HuaweiP20Pro,0.145,-0.037,0.023,-0.124,0.005,-0.049,0.014,0.04,0.072
vtb9,452,E,HuaweiP20Pro,0.214,-0.018,0.074,-0.151,0.057,-0.028,0.01,-0.063,0.031
vw10,652,E,HuaweiP20Pro,0.335,0.101,-0.072,0.218,0.278,0.194,0.012,-0.025,0.006
vw11,4909,E,HuaweiP20Pro,0.168,-0.028,0.026,0.051,0.22,0.252,-0.006,-0.013,-0.061
vw12,918,E,HuaweiP20Pro,0.003,-0.006,0.01,-0.026,-0.002,0.006,0.005,-0.001,-0.007
vw14a,3138,E,HuaweiP20Pro,-0.039,-0.061,-0.0,-0.009,0.026,0.03,-0.011,0.009,0.008
vw14b,19588,E,HuaweiP20Pro,-0.001,0.009,0.008,-0.003,-0.011,0.049,0.0,0.009,-0.022
vw14c,15826,E,HuaweiP20Pro,0.028,-0.017,0.026,0.03,0.048,0.139,-0.013,0.008,-0.031
vw16a,5879,E,HuaweiP20Pro,0.043,0.017,0.003,-0.008,-0.006,-0.002,-0.016,0.009,-0.019
vw16b,1126,E,HuaweiP20Pro,0.428,0.022,0.062,-0.344,0.218,0.145,0.015,0.015,0.001
vw17,329,E,HuaweiP20Pro,-0.093,0.105,0.034,0.045,0.04,0.153,-0.026,0.038,-0.036
vw2,52712,E,HuaweiP20Pro,0.017,0.063,0.008,-0.095,0.048,0.121,-0.002,-0.002,-0.016
vw3,3861,E,HuaweiP20Pro,0.024,0.107,0.002,-0.123,0.15,0.33,0.009,-0.006,-0.018
vw4,126526,E,HuaweiP20Pro,0.015,0.064,0.009,-0.053,0.014,0.258,0.006,-0.015,-0.03
vw5,1012,E,HuaweiP20Pro,-0.018,-0.029,0.02,-0.052,0.011,0.002,-0.01,0.016,0.031
vw6,1281,E,HuaweiP20Pro,0.041,-0.034,0.031,-0.128,-0.096,0.322,-0.014,0.041,-0.058
vw7,1602,E,HuaweiP20Pro,-0.014,0.027,-0.002,0.032,-0.022,0.043,-0.045,0.034,-0.007
vw8,1529,E,HuaweiP20Pro,0.046,0.049,0.048,0.103,0.077,0.235,0.004,-0.033,-0.093
vw9,552,E,HuaweiP20Pro,-0.241,-0.195,0.021,-0.081,0.236,0.064,-0.04,0.059,0.034
y1,70285,D,HuaweiP20Pro,0.012,0.013,-0.002,-0.011,-0.01,0.053,0.007,-0.006,-0.008
