dataset_id,driver_id,phone_id,n_rows,gravity_norm_mean,gravity_norm_std,acc_norm_mean,stationary_frac,stationary_samples,speed_max_kmh,is_stationary_dataset,gyro_bias_x,gyro_noise_x,gyro_bias_y,gyro_noise_y,gyro_bias_z,gyro_noise_z,stat_resid_sub_norm_mean,stat_resid_add_norm_mean,stat_acc_norm_mean,stat_grav_norm_mean,stat_cos_acc_gravity,acc_bias_x,acc_noise_x,acc_bias_y,acc_noise_y,acc_bias_z,acc_noise_z,grav_unit_x,grav_unit_y,grav_unit_z,tilt_from_vertical_deg
S-A1,H,BlackberryPriv,5942,9.80664,3e-05,9.79208,0.0,0,33.39,False,,,,,,,,,,,,,,,,,,,,,
S-A10,H,BlackberryPriv,8886,9.80665,5e-05,9.83116,0.0039,35,97.27,False,,,,,,,,,,,,,,,,,,,,,
S-A11,H,BlackberryPriv,5155,9.80663,4e-05,9.72738,0.0566,292,31.9,False,-0.000122,0.002693,0.000513,0.005653,-0.000115,0.007055,0.14714,19.48162,9.67514,9.80668,0.99996,-0.003021,0.05523,0.002858,0.069135,-0.131933,0.050873,0.0,0.0,1.0,0.0
S-A12,H,BlackberryPriv,4673,9.80663,4e-05,9.71054,0.0319,149,34.34,False,0.00076,0.009261,-0.000289,0.006972,0.000352,0.005624,0.19993,19.47647,9.67042,9.80667,0.99987,0.019976,0.116857,0.018791,0.09925,-0.137514,0.077254,-0.0,0.0001,1.0,0.0
S-A13,H,BlackberryPriv,9184,9.80663,4e-05,9.763,0.0592,544,31.92,False,0.000102,0.00526,8e-06,0.006693,0.000141,0.003313,0.14834,19.5036,9.69757,9.80668,0.99987,-0.001773,0.109714,0.01281,0.115927,-0.110425,0.049824,0.0,0.0,1.0,0.0
S-A2,H,BlackberryPriv,11630,9.80665,3e-05,9.83151,0.0101,118,125.78,False,0.000881,0.021147,0.000597,0.011072,-0.000535,0.012655,0.41184,19.6024,9.80036,9.80665,0.99906,-0.0354,0.366587,0.024797,0.218291,-0.016265,0.152197,-0.0756,0.0458,0.9961,5.07
S-A3,H,BlackberryPriv,11132,9.80665,3e-05,9.83015,0.0058,65,39.49,False,-0.000857,0.007342,0.000991,0.013502,0.004245,0.011237,0.26107,19.55965,9.75556,9.80665,0.99948,-0.031082,0.156148,0.005112,0.271517,-0.058463,0.153515,-0.0012,0.0004,1.0,0.07
S-A4,H,BlackberryPriv,32829,9.80664,3e-05,9.82664,0.0254,833,29.13,False,0.000105,0.010276,0.005385,0.015233,0.003239,0.003742,0.19275,19.62797,9.82193,9.80665,0.99987,0.004984,0.10509,0.010877,0.115288,0.013934,0.144085,-0.0001,-0.0,1.0,0.01
S-A5,H,BlackberryPriv,85041,9.80663,3e-05,9.82041,0.0042,358,30.97,False,-0.000269,0.008337,0.002561,0.02161,0.00142,0.006153,0.24451,19.63305,9.82746,9.80665,0.99978,0.031769,0.140277,0.00763,0.144765,0.018479,0.180257,0.0003,-0.0003,1.0,0.02
S-A6,H,BlackberryPriv,86034,9.80664,3e-05,9.83163,0.0851,7318,29.19,False,6.3e-05,0.006033,0.001384,0.010863,0.000106,0.006642,0.12356,19.59839,9.79204,9.80667,0.99994,0.000987,0.082622,-0.000339,0.074138,-0.015276,0.118047,-0.0,0.0,1.0,0.0
S-A7,H,BlackberryPriv,43872,9.80663,3e-05,9.77985,0.0047,207,30.07,False,-8.2e-05,0.004816,0.004282,0.021221,0.003506,0.007122,0.22213,19.55121,9.74517,9.80665,0.99988,0.00021,0.085973,-0.009844,0.126688,-0.062724,0.174816,-0.0001,-0.0001,1.0,0.01
S-A8,H,BlackberryPriv,66617,9.80664,3e-05,9.7425,0.0,0,29.31,False,,,,,,,,,,,,,,,,,,,,,
S-A9,H,BlackberryPriv,11962,9.80665,3e-05,9.77645,0.0,0,109.76,False,,,,,,,,,,,,,,,,,,,,,
S-I,G,HuaweiP20Pro,5800,9.8066,2e-05,9.86314,0.986,5719,0.76,True,-0.003699,0.004239,0.001036,0.003153,0.00176,0.002635,0.07519,19.67032,9.86377,9.8066,0.99999,0.02166,0.035417,-0.000903,0.023157,0.057061,0.036189,0.0,0.0,1.0,0.0
S-M,B,HuaweiP20Pro,105974,9.80659,4e-05,10.0099,0.0588,6236,27.02,False,-0.001069,0.008048,0.003157,0.015652,-0.001492,0.010788,0.3434,19.66637,9.86424,9.80659,0.99909,0.178421,0.294148,-0.080088,0.227881,0.048651,0.104935,0.0,-0.0,1.0,0.0
S-S1,A,HuaweiP20Pro,51746,9.80659,4e-05,9.96151,0.0501,2590,18.82,False,0.00067,0.013404,-0.009535,0.035366,0.001945,0.008663,0.40419,19.67326,9.87354,9.80659,0.99861,0.164141,0.306557,-0.125912,0.367524,0.053106,0.102228,0.0,-0.0,1.0,0.0
S-S2,A,HuaweiP20Pro,93876,9.80659,4e-05,9.99263,0.0779,7313,28.6,False,0.002975,0.017643,-0.006675,0.034447,0.002964,0.013809,0.34554,19.67318,9.87166,9.80659,0.99897,0.14323,0.335725,-0.036331,0.258056,0.054845,0.102819,0.0,-0.0,1.0,0.0
S-S3a,A,HuaweiP20Pro,24621,9.8066,3e-05,9.92441,0.0271,668,26.83,False,-0.000215,0.006938,-0.000578,0.031406,0.000191,0.029678,0.30875,19.6536,9.85056,9.8066,0.99928,0.179991,0.255279,-0.02682,0.206745,0.036777,0.115299,0.0,-0.0,1.0,0.0
S-S3b,A,HuaweiP20Pro,6813,9.8066,3e-05,9.96253,0.0411,280,12.54,False,-0.000813,0.00737,-0.002989,0.018672,-0.000762,0.005466,0.67987,19.64972,9.85694,9.8066,0.99719,0.172684,0.497079,-0.021291,0.518326,0.022616,0.069754,0.0001,-0.0001,1.0,0.01
S-S3c,A,HuaweiP20Pro,37183,9.8066,3e-05,9.92426,0.0713,2652,32.3,False,0.000127,0.004607,-0.002266,0.012917,-0.000876,0.004328,0.3654,19.65148,9.85094,9.8066,0.99877,-0.041239,0.349199,-0.093758,0.326256,0.032156,0.062569,-0.0,-0.0,1.0,0.0
S-S4,A,HuaweiP20Pro,94600,9.80659,4e-05,9.95735,0.0928,8783,29.35,False,0.000354,0.017516,-0.003327,0.02207,0.000101,0.014078,0.3666,19.66612,9.86463,9.8066,0.99897,0.02221,0.276192,-0.006119,0.354673,0.047748,0.132217,0.0,-0.0,1.0,0.0
S-T1,F,MotorolaMotoG7Power,25759,9.80665,3e-05,9.73144,0.0015,38,38.46,False,,,,,,,,,,,,,,,,,,,,,
S-T10,F,MotorolaMotoG7Power,6699,9.80659,4e-05,9.90017,0.1264,847,19.1,False,0.00128,0.002813,-0.002539,0.004249,-0.000353,0.002369,0.22977,19.67196,9.86827,9.80659,0.99941,0.06149,0.157764,-0.108187,0.273146,0.055813,0.045509,0.0,-0.0001,1.0,0.0
S-T11,F,MotorolaMotoG7Power,5690,9.80659,4e-05,9.91329,0.1499,853,12.68,False,0.000303,0.003036,9e-05,0.00615,0.000504,0.002748,0.18746,19.6647,9.86046,9.80659,0.99952,0.029561,0.124217,-0.128812,0.245663,0.049127,0.057715,0.0,-0.0,1.0,0.0
S-T2,F,MotorolaMotoG7Power,75555,9.80665,3e-05,9.80641,0.0603,4554,39.32,False,-1.7e-05,0.001605,0.000168,0.003069,0.000342,0.003111,0.08239,19.56289,9.75689,9.80665,0.99987,-0.001875,0.154394,-0.001888,0.036166,-0.050892,0.034515,-0.044,0.0112,0.999,2.6
S-T3,F,MotorolaMotoG7Power,65859,9.80665,4e-05,9.80476,0.0153,1006,37.77,False,-0.000164,0.008646,2.2e-05,0.001642,0.000143,0.002707,0.41773,19.57181,9.77184,9.80665,0.99864,-0.007582,0.049506,0.061594,0.50259,-0.043782,0.07758,0.0828,-0.0684,0.9942,6.17
S-T4,F,MotorolaMotoG7Power,73482,9.80665,4e-05,9.84901,0.0279,2049,36.6,False,0.000213,0.005594,0.001108,0.005663,-0.019531,0.043945,0.20239,19.64285,9.83884,9.80665,0.99946,0.01695,0.282859,-0.060645,0.148571,0.016613,0.089856,-0.0343,-0.0321,0.9989,2.69
S-T5,F,MotorolaMotoG7Power,46387,9.80665,3e-05,9.87599,0.0145,673,38.41,False,0.001476,0.00767,0.000313,0.004587,-0.007128,0.030804,0.16602,19.7029,9.89712,9.80664,0.99983,0.01748,0.11564,-0.049544,0.133621,0.0913,0.16767,-0.1655,-0.0328,0.9857,9.71
S-T6,F,MotorolaMotoG7Power,86440,9.80665,3e-05,9.91404,0.0361,3121,35.1,False,0.000517,0.005781,-0.009665,0.018645,-0.0186,0.05496,0.29272,19.63026,9.83019,9.80665,0.99865,-0.121997,0.203937,-0.17183,0.404371,0.00964,0.17936,-0.001,-0.0127,0.9999,0.73
S-T7,F,MotorolaMotoG7Power,101690,9.80665,3e-05,9.89136,0.0463,4711,33.27,False,-0.000148,0.002171,-0.00016,0.002073,0.000322,0.005936,0.08187,19.68393,9.87743,9.80665,0.99997,-0.00449,0.068035,-0.000339,0.037482,0.070352,0.028082,-0.05,-0.0308,0.9983,3.37
S-T8,F,MotorolaMotoG7Power,48344,9.80665,5e-05,9.85082,0.0011,55,38.1,False,0.001167,0.011649,0.003985,0.006552,-0.002445,0.011943,0.37582,19.60147,9.80509,9.80666,0.99791,0.173558,0.571394,0.038784,0.195272,-0.00498,0.113308,0.1931,-0.1094,0.9751,12.82
S-T9,F,MotorolaMotoG7Power,79909,9.80665,3e-05,9.81201,0.0015,117,38.46,False,0.000285,0.004314,-3.4e-05,0.003718,0.002545,0.024879,0.29206,19.62174,9.8202,9.80665,0.99897,0.158819,0.419982,0.013406,0.088652,-0.003826,0.08166,-0.0168,0.0242,0.9996,1.69
S-Vfa01,E,HuaweiP20Pro,11486,9.80659,4e-05,10.23358,0.0366,420,26.84,False,-0.001017,0.009363,0.00286,0.015028,-0.001771,0.008928,0.5314,19.667,9.87082,9.8066,0.99788,0.061266,0.167851,-0.453942,0.417449,0.043231,0.070458,0.0,-0.0001,1.0,0.01
S-Vfa02,E,HuaweiP20Pro,67523,9.80659,4e-05,10.14768,0.0081,546,31.82,False,-0.003037,0.011576,0.00573,0.020483,-0.002825,0.013071,0.58147,19.65768,9.86296,9.8066,0.99759,0.158763,0.271769,-0.479354,0.374255,0.032358,0.080348,0.0,-0.0002,1.0,0.01
S-Vta10,E,HuaweiP20Pro,1502,9.8066,4e-05,10.33299,0.0,0,31.55,False,,,,,,,,,,,,,,,,,,,,,
S-Vta11,E,HuaweiP20Pro,510,9.8066,4e-05,10.44686,0.0,0,26.74,False,,,,,,,,,,,,,,,,,,,,,
S-Vta12,E,HuaweiP20Pro,610,9.8066,4e-05,10.14751,0.0,0,23.18,False,,,,,,,,,,,,,,,,,,,,,
S-Vta13,E,HuaweiP20Pro,404,9.8066,4e-05,10.17923,0.0,0,27.11,False,,,,,,,,,,,,,,,,,,,,,
S-Vta14,E,HuaweiP20Pro,2885,9.8066,4e-05,10.28933,0.0,0,24.74,False,,,,,,,,,,,,,,,,,,,,,
