dataset_id,variant,kind,driver_id,vehicle_id,phone_id,n_rows,n_cols,duration_s,acc_xyz,gyro_xyz,gravity_xyz,magnetometer_xyz,orientation_xyz,gps,gps_accuracy,gps_satellites,timestamp,vbox_vehicle,sample_rate_hz,duplicate_rows,duplicate_timestamps,t_monotonic,max_gap_s,repair_required,repair_note,group,group_reason,core_eligible
S-A1,S,S,H,VolvoXC70,BlackberryPriv,5942,24,2970.61,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.606,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A10,S,S,H,VolvoXC70,BlackberryPriv,8886,24,4442.5,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.525,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A11,S,S,H,VolvoXC70,BlackberryPriv,5155,24,2577.0,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.506,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A12,S,S,H,VolvoXC70,BlackberryPriv,4673,24,2336.0,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.51,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A13,S,S,H,VolvoXC70,BlackberryPriv,9184,24,4591.5,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.534,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A2,S,S,H,VolvoXC70,BlackberryPriv,11630,24,5814.5,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.523,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A3,S,S,H,VolvoXC70,BlackberryPriv,11132,24,5566.03,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,1.879,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A4,S,S,H,VolvoXC70,BlackberryPriv,32829,25,3282.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.111,True,one spurious empty field per data row shifts all columns right by 1; dropping it restores gravity_z=9.8065 and a clean monotonic 10 Hz clock,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation [flags shown POST-repair; see repair_note],True
S-A5,S,S,H,VolvoXC70,BlackberryPriv,85041,24,8504.35,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.561,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A6,S,S,H,VolvoXC70,BlackberryPriv,86034,24,8537.4,True,True,True,True,True,True,True,True,True,False,10.0,4,4,True,0.373,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A7,S,S,H,VolvoXC70,BlackberryPriv,43872,24,4387.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.136,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A8,S,S,H,VolvoXC70,BlackberryPriv,66617,24,6661.6,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.173,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-A9,S,S,H,VolvoXC70,BlackberryPriv,11962,24,5980.5,True,True,True,True,True,True,True,True,True,False,2.0,0,0,True,0.508,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-I,S,S,G,ToyotaCorollaVerso,HuaweiP20Pro,5800,24,579.9,True,True,True,True,True,True,True,True,True,False,10.3093,2267,2288,True,285.379,False,,E,"stationary recording (GPS speed max 0.76 km/h, 98.6% of samples stationary): use for sensor-bias estimation, not motion training",False
S-M,S,S,B,FordFiestaTitanium,HuaweiP20Pro,105974,24,6175.97,True,True,True,True,True,True,True,True,True,False,19.6078,0,0,False,0.107,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-S1,S,S,A,FordFiestaTitanium,HuaweiP20Pro,51746,24,5174.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.111,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-S2,S,S,A,FordFiestaTitanium,HuaweiP20Pro,93876,24,9201.1,True,True,True,True,True,True,True,True,True,False,10.0,0,291,False,0.112,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-S3a,S,S,A,FordFiestaTitanium,HuaweiP20Pro,24621,24,2462.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.112,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-S3b,S,S,A,FordFiestaTitanium,HuaweiP20Pro,6813,24,2707.51,True,True,True,True,True,True,True,True,True,False,10.0,0,0,False,2026.412,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-S3c,S,S,A,FordFiestaTitanium,HuaweiP20Pro,37183,24,3718.2,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.121,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-S4,S,S,A,FordFiestaTitanium,HuaweiP20Pro,94600,24,5578.0,True,True,True,True,True,True,True,True,True,False,12.5,0,1799,False,0.114,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-T1,S,S,F,RenaultMegane,MotorolaMotoG7Power,25759,18,738.38,True,True,True,False,False,True,True,True,True,False,1000.0,10319,10362,True,0.452,False,,F,"10319 exact duplicate rows (40%) and a collapsed timebase (median dt 0.001s, 10362 duplicate timestamps): sample times are not recoverable without assumptions",False
S-T10,S,S,F,RenaultMegane,MotorolaMotoG7Power,6699,24,669.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.128,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-T11,S,S,F,RenaultMegane,MotorolaMotoG7Power,5690,24,568.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.114,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-T2,S,S,F,RenaultMegane,MotorolaMotoG7Power,75555,18,7554.94,True,True,True,False,False,True,True,True,True,False,10.0,2,2,True,0.115,False,,C,"smartphone core IMU present but magnetometer and 3-axis orientation absent (18-column export, Driver F / Motorola moto G7 power): valid for the core schema",True
S-T3,S,S,F,RenaultMegane,MotorolaMotoG7Power,65859,18,6469.24,True,True,True,False,False,True,True,True,True,False,10.0,678,678,True,0.437,False,,C,"smartphone core IMU present but magnetometer and 3-axis orientation absent (18-column export, Driver F / Motorola moto G7 power): valid for the core schema",True
S-T4,S,S,F,RenaultMegane,MotorolaMotoG7Power,73482,18,3580.24,True,True,True,False,False,True,True,True,True,False,1000.0,20841,20914,True,1.582,False,,F,"20841 exact duplicate rows (28%) and a collapsed timebase (median dt 0.001s, 20914 duplicate timestamps): sample times are not recoverable without assumptions",False
S-T5,S,S,F,RenaultMegane,MotorolaMotoG7Power,46387,18,2036.99,True,True,True,False,False,True,True,True,True,False,1000.0,14200,14249,True,0.455,False,,F,"14200 exact duplicate rows (31%) and a collapsed timebase (median dt 0.001s, 14249 duplicate timestamps): sample times are not recoverable without assumptions",False
S-T6,S,S,F,RenaultMegane,MotorolaMotoG7Power,86440,18,2510.86,True,True,True,False,False,True,True,True,True,False,1000.0,34593,34722,True,3.45,False,,F,"34593 exact duplicate rows (40%) and a collapsed timebase (median dt 0.001s, 34722 duplicate timestamps): sample times are not recoverable without assumptions",False
S-T7,S,S,F,RenaultMegane,MotorolaMotoG7Power,101690,18,10170.09,True,True,True,False,False,True,True,True,True,False,10.0,0,0,True,0.832,False,,C,"smartphone core IMU present but magnetometer and 3-axis orientation absent (18-column export, Driver F / Motorola moto G7 power): valid for the core schema",True
S-T8,S,S,F,RenaultMegane,MotorolaMotoG7Power,48344,18,4833.81,True,True,True,False,False,True,True,True,True,False,10.0,2,2,True,0.71,False,,C,"smartphone core IMU present but magnetometer and 3-axis orientation absent (18-column export, Driver F / Motorola moto G7 power): valid for the core schema",True
S-T9,S,S,F,RenaultMegane,MotorolaMotoG7Power,79909,18,7990.72,True,True,True,False,False,True,True,True,True,False,10.0,0,0,True,0.108,False,,C,"smartphone core IMU present but magnetometer and 3-axis orientation absent (18-column export, Driver F / Motorola moto G7 power): valid for the core schema",True
S-Vfa01,S,S,E,FordFiestaTitanium,HuaweiP20Pro,11486,24,1148.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.113,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
