dataset_id,group,driver_id,phone_id,n_rows,sessions,lin_acc_p999,lin_acc_max,n_lin_acc_gt_20,n_lin_acc_gt_78,gyro_p999,gyro_max,n_gyro_gt_5,n_gps_invalid,pct_gps_invalid,n_gps_jump,n_gps_fix,gps_hold_pct
S-A1,B,H,BlackberryPriv,5942,1,3.568,4.277,0,0,0.6174,0.667,0,1077,18.13,1,24,99.6
S-A10,B,H,BlackberryPriv,8886,1,5.127,7.904,0,0,0.5904,0.7024,0,5886,66.24,0,3955,55.49
S-A11,B,H,BlackberryPriv,5155,1,3.433,5.17,0,0,1.5764,2.9286,0,1843,35.75,0,181,96.49
S-A12,B,H,BlackberryPriv,4673,1,3.371,4.794,0,0,0.4685,2.3001,0,1187,25.4,0,156,96.66
S-A13,B,H,BlackberryPriv,9184,1,4.219,18.689,0,0,0.6142,3.8554,0,4818,52.46,2,274,97.02
S-A2,B,H,BlackberryPriv,11630,1,3.236,9.245,0,0,0.2882,0.4018,0,1215,10.45,1,39,99.66
S-A3,B,H,BlackberryPriv,11132,1,3.898,6.539,0,0,0.5428,0.7039,0,1167,10.48,0,37,99.67
S-A4,B,H,BlackberryPriv,32829,1,3.467,6.467,0,0,0.3326,0.3737,0,521,1.59,0,3163,90.37
S-A5,B,H,BlackberryPriv,85041,1,2.826,12.011,0,0,0.3872,0.8287,0,274,0.32,0,8149,90.42
S-A6,B,H,BlackberryPriv,86034,1,3.56,7.274,0,0,0.4334,1.3043,0,3400,3.95,3,7747,91.0
S-A7,B,H,BlackberryPriv,43872,1,3.524,10.111,0,0,0.3269,0.8122,0,31,0.07,1,4322,90.15
S-A8,B,H,BlackberryPriv,66617,1,3.858,8.427,0,0,0.3949,0.5292,0,125,0.19,4,6565,90.15
S-A9,B,H,BlackberryPriv,11962,1,3.506,5.743,0,0,0.4577,0.6687,0,7181,60.03,0,4891,59.11
S-I,E,G,HuaweiP20Pro,5800,2,0.353,0.807,0,0,0.0199,0.0408,0,143,2.47,0,4,99.93
S-M,B,B,HuaweiP20Pro,105974,2,9.434,62.82,4,0,1.0582,16.4747,11,24,0.02,0,1092,98.97
S-S1,B,A,HuaweiP20Pro,51746,1,6.174,12.142,0,0,0.748,1.4525,0,94,0.18,0,532,98.97
S-S2,B,A,HuaweiP20Pro,93876,2,7.88,35.637,2,0,1.2899,14.4411,3,6,0.01,0,942,99.0
S-S3a,B,A,HuaweiP20Pro,24621,1,5.405,8.38,0,0,0.6637,0.8094,0,1,0.0,0,254,98.97
S-S3b,B,A,HuaweiP20Pro,6813,2,11.461,57.348,4,0,2.8898,23.4043,5,0,0.0,0,75,98.9
S-S3c,B,A,HuaweiP20Pro,37183,1,4.54,8.398,0,0,0.6107,0.8834,0,93,0.25,0,391,98.95
S-S4,B,A,HuaweiP20Pro,94600,3,6.336,74.188,2,0,0.851,13.8524,6,146,0.15,0,933,99.01
S-T10,B,F,MotorolaMotoG7Power,6699,1,9.511,14.386,0,0,0.4117,0.5467,0,1370,20.45,0,57,99.15
S-T11,B,F,MotorolaMotoG7Power,5690,1,8.777,14.491,0,0,0.4702,0.621,0,519,9.12,0,47,99.17
S-T2,C,F,MotorolaMotoG7Power,75555,1,5.079,9.62,0,0,0.4537,0.8651,0,4113,5.44,0,780,98.97
S-T3,C,F,MotorolaMotoG7Power,65859,1,4.434,6.662,0,0,0.4935,0.6013,0,243,0.37,1,718,98.91
S-T7,C,F,MotorolaMotoG7Power,101690,1,3.438,19.295,0,0,0.6227,6.8729,2,3709,3.65,0,1078,98.94
S-T8,C,F,MotorolaMotoG7Power,48344,1,3.545,5.137,0,0,0.5596,1.2763,0,23148,47.88,0,473,99.02
S-T9,C,F,MotorolaMotoG7Power,79909,1,4.101,22.865,2,0,1.6147,8.3818,10,34900,43.67,0,738,99.08
S-Vfa01,B,E,HuaweiP20Pro,11486,1,12.451,17.565,0,0,1.5272,2.4926,0,0,0.0,0,123,98.93
S-Vfa02,B,E,HuaweiP20Pro,67523,1,9.189,15.178,0,0,1.2244,1.8507,0,0,0.0,0,747,98.89
S-Vta10,B,E,HuaweiP20Pro,1502,1,11.568,13.715,0,0,1.6085,1.9427,0,0,0.0,0,17,98.87
S-Vta11,B,E,HuaweiP20Pro,510,1,12.736,13.652,0,0,1.3296,1.436,0,0,0.0,0,6,98.82
S-Vta12,B,E,HuaweiP20Pro,610,1,6.936,7.053,0,0,0.8503,0.8534,0,0,0.0,0,7,98.85
S-Vta13,B,E,HuaweiP20Pro,404,1,7.978,8.686,0,0,0.8616,0.8626,0,1,0.25,1,6,98.51
S-Vta14,B,E,HuaweiP20Pro,2885,1,11.424,14.027,0,0,1.5862,1.9369,0,0,0.0,0,33,98.86
S-Vta15,B,E,HuaweiP20Pro,833,1,10.731,11.507,0,0,1.2089,1.5511,0,0,0.0,0,10,98.8
S-Vta16,B,E,HuaweiP20Pro,11335,1,11.775,16.466,0,0,1.6233,2.605,0,0,0.0,0,122,98.92
S-Vta17,B,E,HuaweiP20Pro,4519,1,13.224,20.413,1,0,1.8364,2.1254,0,0,0.0,0,50,98.89
S-Vta19,B,E,HuaweiP20Pro,292,1,6.636,6.898,0,0,0.8295,0.8379,0,0,0.0,0,4,98.63
S-Vta1a,B,E,HuaweiP20Pro,25676,1,14.685,20.569,1,0,1.8755,2.6787,0,1,0.0,0,2520,90.19
S-Vta1b,B,E,HuaweiP20Pro,954,1,12.812,13.134,0,0,1.5643,1.8792,0,0,0.0,0,95,90.04
S-Vta2,B,E,HuaweiP20Pro,10991,1,14.187,22.913,1,0,1.7724,2.2874,0,2,0.02,1,1023,90.69
S-Vta20,B,E,HuaweiP20Pro,3223,1,11.087,11.688,0,0,1.3596,1.4868,0,1,0.03,0,10,99.69
S-Vta21,B,E,HuaweiP20Pro,2079,1,15.873,25.462,2,0,2.1618,3.0642,0,111,5.34,1,24,98.85
S-Vta22,B,E,HuaweiP20Pro,1564,1,13.393,17.185,0,0,1.9705,2.2374,0,0,0.0,0,18,98.85
S-Vta23,B,E,HuaweiP20Pro,1110,1,12.248,13.928,0,0,1.8012,2.0409,0,0,0.0,0,13,98.83
S-Vta24,B,E,HuaweiP20Pro,1171,1,8.972,12.414,0,0,1.0488,1.3799,0,0,0.0,0,10,99.15
S-Vta25,B,E,HuaweiP20Pro,646,1,7.04,7.583,0,0,0.8327,1.0055,0,0,0.0,0,6,99.07
S-Vta26,B,E,HuaweiP20Pro,1935,1,14.508,18.453,0,0,2.0429,2.4276,0,1,0.05,0,16,99.17
S-Vta27,B,E,HuaweiP20Pro,2540,1,16.191,18.99,0,0,2.2033,2.6283,0,0,0.0,0,25,99.02
S-Vta28,B,E,HuaweiP20Pro,4210,1,15.36,17.786,0,0,2.0276,2.3165,0,0,0.0,0,43,98.98
S-Vta29,B,E,HuaweiP20Pro,23705,1,16.13,21.429,4,0,2.198,3.5356,0,0,0.0,0,249,98.95
S-Vta3,B,E,HuaweiP20Pro,645,1,5.677,6.126,0,0,0.6301,0.6346,0,0,0.0,0,5,99.22
S-Vta30,B,E,HuaweiP20Pro,17136,1,12.033,18.976,0,0,1.658,2.6318,0,489,2.85,0,160,99.07
S-Vta4,B,E,HuaweiP20Pro,1789,1,13.935,15.222,0,0,1.8368,2.4212,0,0,0.0,0,21,98.83
S-Vta5,B,E,HuaweiP20Pro,307,1,8.331,8.375,0,0,0.8456,0.8604,0,0,0.0,0,4,98.7
S-Vta6,B,E,HuaweiP20Pro,1376,1,13.574,14.72,0,0,1.7215,1.8022,0,0,0.0,0,16,98.84
S-Vta7,B,E,HuaweiP20Pro,840,1,14.771,15.131,0,0,1.9323,2.0268,0,0,0.0,0,10,98.81
S-Vta8,B,E,HuaweiP20Pro,3676,1,12.811,17.237,0,0,1.9878,2.4304,0,1,0.03,0,33,99.1
S-Vta9,B,E,HuaweiP20Pro,156,1,5.619,5.762,0,0,0.697,0.6988,0,0,0.0,0,2,98.72
S-Vtb1,B,E,HuaweiP20Pro,32459,2,13.808,18.648,0,0,1.783,2.682,0,4264,13.14,2,281,99.13
S-Vtb10,B,E,HuaweiP20Pro,196,1,8.543,8.7,0,0,0.7685,0.7732,0,0,0.0,0,3,98.47
S-Vtb11,B,E,HuaweiP20Pro,361,1,8.078,8.261,0,0,1.1638,1.1684,0,0,0.0,0,5,98.61
S-Vtb12,B,E,HuaweiP20Pro,447,1,8.338,8.554,0,0,1.0686,1.0704,0,0,0.0,0,5,98.88
S-Vtb2,B,E,HuaweiP20Pro,5712,1,15.191,18.989,0,0,2.066,2.2887,0,0,0.0,0,56,99.02
S-Vtb3,B,E,HuaweiP20Pro,8240,1,10.438,17.191,0,0,1.5251,2.0828,0,491,5.96,0,36,99.56
S-Vtb4,B,E,HuaweiP20Pro,556,1,15.407,17.196,0,0,2.4098,2.7428,0,0,0.0,0,6,98.92
S-Vtb5,B,E,HuaweiP20Pro,64388,1,11.191,18.07,0,0,1.4629,2.7065,0,0,0.0,0,703,98.91
S-Vtb6,B,E,HuaweiP20Pro,498,1,10.266,11.44,0,0,1.2217,1.3213,0,0,0.0,0,6,98.8
S-Vtb7,B,E,HuaweiP20Pro,461,1,8.672,8.87,0,0,0.9279,0.9343,0,0,0.0,0,6,98.7
S-Vtb8,B,E,HuaweiP20Pro,668,1,9.093,9.357,0,0,1.4281,1.451,0,0,0.0,0,8,98.8
S-Vtb9,B,E,HuaweiP20Pro,452,1,11.239,11.899,0,0,1.4226,1.6172,0,0,0.0,0,6,98.67
S-Vw1,E,E,HuaweiP20Pro,20476,1,1.505,4.806,0,0,0.1088,0.4682,0,0,0.0,0,1,100.0
