dataset_id,variant,kind,group,driver_id,vehicle_id,phone_id,n_copies,canonical_path,all_paths,n_rows,n_cols,columns_raw,unmapped_columns,file_size_bytes,duplicate_canonical_cols,missing_total,missing_pct_max,cols_with_missing,duplicate_rows,inf_values,timestamp_col,date_parse_fail,wall_start,wall_end,t_monotonic,duplicate_timestamps,dt_min,dt_max,dt_mean,dt_std,dt_median,rate_hz,dt_zero,gaps_gt_0p5s,gaps_gt_2s,abnormal_dt,duration_s,has_acc,has_gyro,has_gravity,has_mag,has_orientation,has_gps,has_gps_accuracy,has_vehicle_fields,has_gps_satellites,sats_mean,gps_update_median_s,gps_update_max_s,gps_outages_gt5s,gps_fix_count,gps_hold_ratio,gps_acc_mean,gps_acc_max,lat_min,lat_max,lon_min,lon_max,lat_lon_zero_rows,speed_max_kmh,speed_mean_kmh,gyro_mag_mean,gyro_mag_std,acc_mag_mean,acc_mag_std
S-A1,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A1.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A1.csv,5942,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,1072488,,11884,100.0,gps_sats_raw:5942|date_raw:5942,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2019-02-27T09:18:12.680000067,2019-02-27T10:07:43.285000086,True,0,0.427,0.606,0.500018,0.002083,0.5,2.0,0.0,1497.0,0.0,5941.0,2970.61,True,True,True,True,True,True,True,False,True,1.92,132.5005,183.999,21.0,23,0.9961,15.509,1799.999,51.94857,52.43163,-1.612928,-1.202399,0,33.39,25.108,0.06583,0.05967,9.7921,0.7104
S-A10,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A10.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A10.csv,8886,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,1677197,,17772,100.0,gps_sats_raw:8886|date_raw:8886,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2019-10-03T14:22:44.803999901,2019-10-03T15:36:47.303999901,True,0,0.475,0.525,0.5,0.00087,0.5,2.0,0.0,1786.0,0.0,8885.0,4442.5,True,True,True,True,True,True,True,False,True,13.42,1.0,72.0,20.0,3954,0.555,24.372,41.935,52.42028,52.49792,-1.90678,-1.521726,0,97.27,41.748,0.07112,0.07738,9.8312,0.622
S-A11,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A11.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A11.csv,5155,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,926919,,10310,100.0,gps_sats_raw:5155|date_raw:5155,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2020-03-21T10:22:54.746000051,2020-03-21T11:05:51.746000051,True,0,0.494,0.506,0.5,0.000793,0.5,2.0,0.0,1495.0,0.0,5154.0,2577.0,True,True,True,True,True,True,True,False,True,0.9,14.999,57.0,179.0,180,0.9651,18.307,49.0,52.1567,52.431664,-1.884556,-1.491086,0,31.9,19.258,0.04446,0.0959,9.7274,0.5268
S-A12,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A12.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A12.csv,4673,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,830964,,9346,100.0,gps_sats_raw:4673|date_raw:4673,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2020-03-21T11:11:08.098000050,2020-03-21T11:50:04.096999884,True,0,0.489,0.51,0.5,0.000791,0.5,2.0,0.0,1268.0,0.0,4672.0,2336.0,True,True,True,True,True,True,True,False,True,8.03,15.001,36.999,154.0,155,0.9668,17.032,70.0,51.819008,52.15681,-2.224006,-1.884516,0,34.34,21.67,0.04674,0.06944,9.7105,0.5092
S-A13,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A13.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A13.csv,9184,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,1654726,,18368,100.0,gps_sats_raw:9184|date_raw:9184,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2020-03-21T14:28:57.374000072,2020-03-21T15:45:28.874000072,True,0,0.466,0.534,0.5,0.000797,0.5,2.0,0.0,1311.0,0.0,9183.0,4591.5,True,True,True,True,True,True,True,False,True,7.68,15.0,277.001,272.0,273,0.9703,412.856,3638.694,50.87106,51.71715,-4.48497,-2.303545,0,31.92,17.084,0.06151,0.08952,9.763,0.6441
S-A2,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A2.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A2.csv,11630,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,2114097,,23260,100.0,gps_sats_raw:11630|date_raw:11630,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2019-02-15T10:56:42.545000076,2019-02-15T12:33:37.045000076,True,0,0.477,0.523,0.5,0.000823,0.5,2.0,0.0,2124.0,0.0,11629.0,5814.5,True,True,True,True,True,True,True,False,True,7.02,177.999,187.002,36.0,38,0.9967,15.58,1299.999,51.257977,52.218723,-1.502687,-0.069686,0,125.78,106.267,0.05049,0.03504,9.8315,0.5075
S-A3,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A3.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A3.csv,11132,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,2003758,,22264,100.0,gps_sats_raw:11132|date_raw:11132,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2019-02-27T10:15:51.536999941,2019-02-27T11:48:37.565000057,True,0,0.001,1.879,0.500047,0.014324,0.5,2.0,0.0,2800.0,0.0,11130.0,5566.03,True,True,True,True,True,True,True,False,True,0.0,177.999,186.001,35.0,36,0.9968,44.619,1100.0,51.161964,51.94965,-1.206313,-0.222593,0,39.49,23.485,0.07221,0.0594,9.8302,0.8143
S-A4,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A4.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A4.csv,32829,25,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°)|Unnamed: 24,Unnamed: 24,5884413,,98487,100.0,gps_sats_raw:32829|t_ms:32829|acc_x:32829,0,0,TIME SINCE START (ms) [+ DATE wall clock],32829,,,False,32828,,,,,,,,,,,,False,True,True,True,True,True,True,False,False,,,,,3162,0.9037,16.245,1399.999,51.819263,52.185726,-2.223642,-1.877144,0,29.13,16.35,9.8066,0.00046,,
S-A5,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A5.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A5.csv,85041,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,15172267,,170782,100.0,gps_bearing_deg:700|gps_sats_raw:85041|date_raw:85041,0,0,TIME SINCE START (ms) [+ DATE wall clock],0,2019-08-16T12:49:13.802999973,2019-08-16T15:10:58.151999950,True,0,0.003,0.561,0.100004,0.001764,0.1,10.0,0.0,1.0,0.0,2.0,8504.35,True,True,True,True,True,True,True,False,True,14.22,1.0,49.0,16.0,8148,0.9042,9.702,38.0,50.97236,51.819527,-3.218043,-2.223346,0,30.97,15.081,0.03905,0.03135,9.8204,0.5183
S-A6,S,S,a,H,VolvoXC70,BlackberryPriv,1,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A6.csv,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A6.csv,86034,24,GPS LATITUDE (degrees)|GPS LONGITUDE (degrees)|GPS ALTITUDE (m)|GPS SPEED (Kmh)|GPS ACCURACY (m)|GPS ORIENTATION (Â°)|GPS SATELLITES IN RANGE|TIME SINCE START (ms)|DATE (YYYY-MO-DD HH-MI-SS_SSS)|ACCELEROMETER X (m/s²)|ACCELEROMETER Y (m/s²)|ACCELEROMETER Z (m/s²)|GRAVITY X (m/s²)|GRAVITY Y (m/s²)|GRAVITY Z (m/s²)|GYROSCOPE Yaw (rad/s)|GYROSCOPE Pitch (rad/s)|GYROSCOPE Roll (rad/s)|MAGNETIC FIELD X (Î¼T)|MAGNETIC FIELD Y (Î¼T)|MAGNETIC FIELD Z (Î¼T)|ORIENTATION (Yaw) (Â°)|ORIENTATION (Pitch) (Â°)|ORIENTATION (Roll ) (Â°),,15372302,,173888,100.0,gps_bearing_deg:1820|gps_sats_raw:86034|date_raw:86034,4,0,TIME SINCE START (ms) [+ DATE wall clock],0,2019-08-17T07:20:29.506000042,2019-08-17T09:42:46.907999992,True,4,0.0,0.373,0.099234,0.01234,0.1,10.0,4.0,0.0,0.0,1058.0,8537.4,True,True,True,True,True,True,True,False,True,13.43,1.0,182.0,11.0,7746,0.91,117.852,3911.0,50.41365,50.98627,-5.033129,-3.19069,0,29.19,20.585,0.04743,0.03872,9.8316,0.685
