pair_base,s_id,v_id,in_sync_folder,s_exists,v_exists,verdict,s_date,s_tod_start,s_tod_end,vfull_tod_start,vfull_tod_end,vfull_overlap_s,vfull_overlap_frac,vfull_overlap_bst_s,vfull_overlap_bst_frac,vsync_tod_start,vsync_tod_end,vsync_overlap_s,vsync_overlap_frac,vsync_overlap_bst_s,vsync_overlap_bst_frac,best_offset
a1,S-A1,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a10,S-A10,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a11,S-A11,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a12,S-A12,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a13,S-A13,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a2,S-A2,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a3,S-A3,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a4,S-A4,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a5,S-A5,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a6,S-A6,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a7,S-A7,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a8,S-A8,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
a9,S-A9,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
i,S-I,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
m,S-M,V-M,True,True,True,SYNC_CONFIRMED,2019-09-07,33209.51,43809.13,29606.4,40205.8,6996.29,0.6601,10596.29,0.9997,29608.4,40205.7,6996.19,0.66,10596.19,0.9997,BST(+3600s)
s1,S-S1,V-S1,True,True,True,SYNC_CONFIRMED,2019-09-08,36469.55,41644.04,32864.7,38043.6,1574.05,0.3042,5174.05,0.9999,32869.0,38043.5,1573.95,0.3042,5173.95,0.9999,BST(+3600s)
s2,S-S2,V-S2,True,True,True,SYNC_CONFIRMED,2019-09-08,43431.74,52820.35,39824.4,49214.3,5782.56,0.6159,9382.56,0.9994,39824.4,49211.9,5780.16,0.6157,9380.16,0.9991,BST(+3600s)
s3a,S-S3a,V-S3a,True,True,True,SYNC_CONFIRMED,2019-09-04,69711.49,72173.49,66114.2,68580.1,0.0,0.0,2459.29,0.9989,66118.0,68580.0,0.0,0.0,2455.49,0.9974,BST(+3600s)
s3b,S-S3b,V-S3b,True,True,True,SYNC_CONFIRMED,2019-09-04,72183.49,72869.02,68580.2,69264.1,0.0,0.0,680.61,0.9928,68582.8,69264.0,0.0,0.0,680.51,0.9927,BST(+3600s)
s3c,S-S3c,V-S3c,True,True,True,SYNC_CONFIRMED,2019-09-04,72868.52,76586.72,69264.2,72986.1,117.58,0.0316,3717.58,0.9998,69267.8,72986.0,117.48,0.0316,3717.48,0.9998,BST(+3600s)
s4,S-S4,V-S4,True,True,True,SYNC_CONFIRMED,2019-09-06,65775.11,75548.22,62172.8,71955.1,6179.99,0.6323,9773.11,1.0,62173.4,71633.3,5858.19,0.5994,9458.19,0.9678,BST(+3600s)
st1,,V-St1,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
st4,,V-St4,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
st6,,V-St6,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
st7,,V-St7,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t1,S-T1,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t10,S-T10,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t11,S-T11,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t2,S-T2,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t3,S-T3,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t4,S-T4,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t5,S-T5,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t6,S-T6,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t7,S-T7,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t8,S-T8,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
t9,S-T9,,False,True,False,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
