pair_base,s_id,v_id,has_S,has_V,in_sync_folder,verdict,reason,s_rows,v_sync_rows,v_full_rows,v_sync_trimmed,row_delta,row_aligned,bbox_iou,track_med_dist_m,track_p90_dist_m,time_overlap_frac,needs_bst_shift,s_date,clock_offset_s
a1,S-A1,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a10,S-A10,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a11,S-A11,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a12,S-A12,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a13,S-A13,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a2,S-A2,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a3,S-A3,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a4,S-A4,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a5,S-A5,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a6,S-A6,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a7,S-A7,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a8,S-A8,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
a9,S-A9,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
i,S-I,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
m,S-M,V-M,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,105974.0,105974.0,105995.0,True,0.0,True,0.9983,14.6,46.32,0.9997,True,2019-09-07,-3601.1
s1,S-S1,V-S1,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,51746.0,51746.0,51790.0,True,0.0,True,0.9984,10.49,31.92,0.9999,True,2019-09-08,-3600.6
s2,S-S2,V-S2,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,93876.0,93876.0,93900.0,True,0.0,True,0.9994,11.7,36.03,0.9994,True,2019-09-08,-3607.3
s3a,S-S3a,V-S3a,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,24621.0,24621.0,24660.0,True,0.0,True,0.9956,18.47,51.83,0.9989,True,2019-09-04,-3593.5
s3b,S-S3b,V-S3b,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,6813.0,6813.0,6840.0,True,0.0,True,0.9276,9.2,25.71,0.9928,True,2019-09-04,-3600.7
s3c,S-S3c,V-S3c,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,37183.0,37183.0,37220.0,True,0.0,True,0.9979,17.23,53.21,0.9998,True,2019-09-04,-3600.7
s4,S-S4,V-S4,True,True,True,SYNC_ROW_ALIGNED,V trimmed to same row count as S and GPS tracks coincide,94600.0,94600.0,97824.0,True,0.0,True,0.9963,14.64,45.83,1.0,True,2019-09-06,-3601.7
st1,,V-St1,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
st4,,V-St4,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
st6,,V-St6,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
st7,,V-St7,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t1,S-T1,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t10,S-T10,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t11,S-T11,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t2,S-T2,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t3,S-T3,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t4,S-T4,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t5,S-T5,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t6,S-T6,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t7,S-T7,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t8,S-T8,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
t9,S-T9,,True,False,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfa01,S-Vfa01,V-Vfa01,True,True,True,SYNC_CLAIMED_NOT_TRIMMED,in Synchronised folder but V identical to untrimmed V_full,11486.0,11535.0,11535.0,False,49.0,False,0.9946,34.25,78.9,1.0,False,2019-11-08,-4.2
vfa02,S-Vfa02,V-Vfa02,True,True,True,SYNC_CLAIMED_NOT_TRIMMED,in Synchronised folder but V identical to untrimmed V_full,67523.0,67755.0,67755.0,False,232.0,False,0.9993,52.11,104.92,1.0,False,2019-11-08,-7.8
vfb01a,,V-Vfb01a,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb01b,,V-Vfb01b,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb01c,,V-Vfb01c,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb01d,,V-Vfb01d,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb02a,,V-Vfb02a,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb02b,,V-Vfb02b,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb02c,,V-Vfb02c,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb02d,,V-Vfb02d,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb02e,,V-Vfb02e,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
vfb02f,,V-Vfb02f,False,True,False,NO_COUNTERPART,only one of S/V exists for this ID,,,,,,,,,,,,,
