dataset_id,v_dataset_id,session_id,n_rows,verdict,estimated_lag_seconds,time_offset_seconds,wall_clock_residual_s,predicted_lag_from_clock_s,lag_methods_agree,recommended_shift_seconds,alignment_method,correlation_used,correlation_r,confidence,usable_for_vbox_supervision,note,bst_like_offset
S-M,V-M,S-M_s00,44226,SYNC_ROW_ALIGNED,-0.9,3601.11,1.106,-1.106,True,-0.9,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9916,high,True,,True
S-M,V-M,S-M_s01,61748,SYNC_ROW_ALIGNED,-2.9,3603.43,3.429,-3.429,True,-2.9,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9499,high,True,,True
S-S1,V-S1,S-S1_s00,51746,SYNC_ROW_ALIGNED,-0.2,3600.54,0.545,-0.545,True,-0.2,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9939,high,True,,True
S-S2,V-S2,S-S2_s00,1864,SYNC_ROW_ALIGNED,-7.6,3607.34,7.341,-7.341,True,-7.6,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.8341,high,True,,True
S-S2,V-S2,S-S2_s01,92012,SYNC_ROW_ALIGNED,-8.7,3608.45,8.449,-8.449,True,-8.7,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9905,high,True,,True
S-S3a,V-S3a,S-S3a_s00,24621,SYNC_ROW_ALIGNED,6.7,3593.49,-6.507,6.507,True,6.7,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9927,high,True,,True
S-S3b,V-S3b,S-S3b_s00,2043,SYNC_ROW_ALIGNED,-0.4,3600.69,0.693,-0.693,True,-0.4,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.7727,high,True,,True
S-S3b,V-S3b,S-S3b_s01,4770,SYNC_ROW_ALIGNED,-4.8,3605.02,5.021,-5.021,True,-4.8,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9995,high,True,,True
S-S3c,V-S3c,S-S3c_s00,37183,SYNC_ROW_ALIGNED,-0.5,3600.72,0.721,-0.721,True,-0.5,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.999,high,True,,True
S-S4,V-S4,S-S4_s00,35186,SYNC_ROW_ALIGNED,-1.8,3601.71,1.711,-1.711,True,-1.8,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9916,high,True,,True
S-S4,V-S4,S-S4_s01,55781,SYNC_ROW_ALIGNED,47.7,3913.75,313.753,-313.753,False,,none,gyro_y_vs_yawrate,-0.0724,unusable,False,no usable correlation (|r|=0.07),False
S-S4,V-S4,S-S4_s02,3633,SYNC_ROW_ALIGNED,31.4,3914.92,314.917,-314.917,False,-314.917,wallclock_preferred_xcorr_weak,gyro_y_vs_yawrate,-0.2053,low,False,"weak correlation; xcorr peak not trusted, wall clock used",False
S-Vfa01,V-Vfa01,S-Vfa01_s00,11486,SYNC_CLAIMED_NOT_TRIMMED,-5.2,4.24,4.236,-4.236,True,-5.2,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.6031,high,False,pair verdict SYNC_CLAIMED_NOT_TRIMMED,False
S-Vfa02,V-Vfa02,S-Vfa02_s00,67523,SYNC_CLAIMED_NOT_TRIMMED,-8.8,7.75,7.749,-7.749,True,-7.749,wallclock_confirmed_by_weak_xcorr,gyro_y_vs_yawrate,0.4632,medium,False,pair verdict SYNC_CLAIMED_NOT_TRIMMED,False
S-Vta10,V-Vta10,S-Vta10_s00,1502,SYNC_ROW_ALIGNED,-0.1,0.49,0.493,-0.493,True,-0.493,wallclock_confirmed_by_weak_xcorr,gyro_y_vs_yawrate,0.4457,medium,True,,False
S-Vta11,V-Vta11,S-Vta11_s00,510,SYNC_ROW_ALIGNED,-0.4,0.49,0.493,-0.493,True,-0.4,xcorr+wallclock_agree,gyro_y_vs_yawrate,0.9043,high,True,,False
