session_id,dataset_id,group,driver_id,phone_id,n_rows,duration_s,strategy,n_target_valid,pct_target_valid,n_vbox_targets,n_gps_targets,conf_high,conf_medium,conf_low,sync_confidence,gyro_transform_usable,acc_transform_usable
S-A1_s00,S-A1,B,H,BlackberryPriv,5942,2970.6,none,0,0.0,0,0,0,0,0,,False,False
S-A10_s00,S-A10,B,H,BlackberryPriv,8886,4442.5,B_gps,1325,14.91,0,1325,258,1067,0,,False,False
S-A11_s00,S-A11,B,H,BlackberryPriv,5155,2577.0,B_gps,125,2.42,0,125,1,124,0,,False,False
S-A12_s00,S-A12,B,H,BlackberryPriv,4673,2336.0,B_gps,126,2.7,0,126,1,125,0,,False,False
S-A13_s00,S-A13,B,H,BlackberryPriv,9184,4591.5,B_gps,154,1.68,0,154,14,140,0,,False,False
S-A2_s00,S-A2,B,H,BlackberryPriv,11630,5814.5,B_gps,1,0.01,0,1,0,1,0,,False,False
S-A3_s00,S-A3,B,H,BlackberryPriv,11132,5566.0,none,0,0.0,0,0,0,0,0,,False,False
S-A4_s00,S-A4,B,H,BlackberryPriv,32829,3282.8,B_gps,3122,9.51,0,3122,1718,1404,0,,False,False
S-A5_s00,S-A5,B,H,BlackberryPriv,85041,8504.3,B_gps,8117,9.54,0,8117,5489,2628,0,,False,False
S-A6_s00,S-A6,B,H,BlackberryPriv,86034,8537.4,B_gps,7632,8.87,0,7632,482,7150,0,,False,False
S-A7_s00,S-A7,B,H,BlackberryPriv,43872,4387.1,B_gps,4317,9.84,0,4317,73,4244,0,,False,False
S-A8_s00,S-A8,B,H,BlackberryPriv,66617,6661.6,B_gps,6559,9.85,0,6559,4662,1897,0,,False,False
S-A9_s00,S-A9,B,H,BlackberryPriv,11962,5980.5,B_gps,1916,16.02,0,1916,1151,765,0,,False,False
S-I_s00,S-I,E,G,HuaweiP20Pro,1468,146.7,none,0,0.0,0,0,0,0,0,,False,False
S-I_s01,S-I,E,G,HuaweiP20Pro,4332,147.8,B_gps,1,0.02,0,1,0,1,0,,False,False
