driver,session_id,dataset_id,vehicle,phone,rows,duration_s,distance_km,target_rows,conf,source,sync_conf,gyro_tf,acc_tf,has_bias,lag_s
A,S-S1_s00,S-S1,,HuaweiP20Pro,51746,5174.5,37.947,51744,high,vbox,high,True,True,True,-0.2
A,S-S2_s00,S-S2,,HuaweiP20Pro,1864,186.3,0.41,1788,high,vbox,high,True,True,True,-7.6
A,S-S2_s01,S-S2,,HuaweiP20Pro,92012,9201.1,74.961,91925,high,vbox,high,True,False,True,-8.7
A,S-S3a_s00,S-S3a,,HuaweiP20Pro,24621,2462.0,25.876,24554,high,vbox,high,True,False,True,6.7
A,S-S3b_s00,S-S3b,,HuaweiP20Pro,2043,204.2,1.117,2039,high,vbox,high,True,False,True,-0.4
A,S-S3b_s01,S-S3b,,HuaweiP20Pro,4770,476.9,2.646,4722,high,vbox,high,True,False,True,-4.8
A,S-S3c_s00,S-S3c,,HuaweiP20Pro,37183,3718.2,43.694,37178,high,vbox,high,True,False,True,-0.5
A,S-S4_s00,S-S4,,HuaweiP20Pro,35186,3518.5,27.815,35168,high,vbox,high,True,False,True,-1.8
B,S-M_s00,S-M,,HuaweiP20Pro,44226,4422.5,38.682,44217,high,vbox,high,True,False,True,-0.9
B,S-M_s01,S-M,,HuaweiP20Pro,61748,6176.0,66.421,61719,high,vbox,high,True,True,True,-2.9
E,S-Vta10_s00,S-Vta10,,HuaweiP20Pro,1502,150.1,3.739,1497,medium,vbox,medium,True,True,False,-0.493
E,S-Vta11_s00,S-Vta11,,HuaweiP20Pro,510,50.9,0.706,506,high,vbox,high,True,False,False,-0.4
E,S-Vta13_s00,S-Vta13,,HuaweiP20Pro,404,40.3,0.971,400,medium,vbox,medium,True,True,False,-0.393
E,S-Vta16_s00,S-Vta16,,HuaweiP20Pro,11335,1133.4,13.623,11318,high,vbox,high,True,False,True,-1.7
E,S-Vta17_s00,S-Vta17,,HuaweiP20Pro,4519,453.0,4.09,4502,medium,vbox,medium,True,False,False,-1.677
E,S-Vta1a_s00,S-Vta1a,,HuaweiP20Pro,25676,2567.5,40.496,25538,high,vbox,high,True,True,True,13.8
E,S-Vta1b_s00,S-Vta1b,,HuaweiP20Pro,954,95.3,1.251,948,medium,vbox,medium,True,True,False,-0.463
E,S-Vta20_s00,S-Vta20,,HuaweiP20Pro,3223,322.2,0.375,3165,medium,vbox,medium,False,False,True,5.8
E,S-Vta21_s00,S-Vta21,,HuaweiP20Pro,2079,207.8,2.671,1996,medium,vbox,medium,False,False,False,-8.322
E,S-Vta22_s00,S-Vta22,,HuaweiP20Pro,1564,156.3,1.626,1526,medium,vbox,medium,False,False,False,-3.822
E,S-Vta23_s00,S-Vta23,,HuaweiP20Pro,1110,110.9,1.079,1101,medium,vbox,medium,False,False,False,-0.922
E,S-Vta24_s00,S-Vta24,,HuaweiP20Pro,1171,117.0,0.683,1161,high,vbox,high,True,False,False,-1.0
E,S-Vta25_s00,S-Vta25,,HuaweiP20Pro,646,64.5,0.157,644,high,vbox,high,True,False,True,0.2
E,S-Vta28_s00,S-Vta28,,HuaweiP20Pro,4210,420.9,3.927,4196,medium,vbox,medium,False,False,True,1.378
E,S-Vta29_s00,S-Vta29,,HuaweiP20Pro,23705,2369.8,25.926,23645,medium,vbox,medium,False,False,True,6.013
E,S-Vta2_s00,S-Vta2,,HuaweiP20Pro,10991,1099.0,11.044,10983,high,vbox,high,True,True,True,-0.8
E,S-Vta30_s00,S-Vta30,,HuaweiP20Pro,17136,1713.5,11.682,17113,medium,vbox,medium,False,False,True,-2.286
E,S-Vta3_s00,S-Vta3,,HuaweiP20Pro,645,64.4,0.172,443,high,vbox,high,True,False,True,20.2
E,S-Vta4_s00,S-Vta4,,HuaweiP20Pro,1789,178.8,1.974,1767,medium,vbox,medium,True,True,False,-2.193
E,S-Vta5_s00,S-Vta5,,HuaweiP20Pro,307,30.6,0.358,303,high,vbox,high,True,True,False,-0.4
E,S-Vta7_s00,S-Vta7,,HuaweiP20Pro,840,83.9,1.476,825,high,vbox,high,True,True,False,-1.5
E,S-Vta8_s00,S-Vta8,,HuaweiP20Pro,3676,367.5,3.391,3663,medium,vbox,medium,True,True,False,-1.293
E,S-Vtb12_s00,S-Vtb12,,HuaweiP20Pro,447,44.6,0.53,446,high,vbox,high,True,True,False,0.1
E,S-Vtb1_s00,S-Vtb1,,HuaweiP20Pro,684,68.3,0.016,670,medium,vbox,medium,True,False,True,-1.4
E,S-Vtb2_s00,S-Vtb2,,HuaweiP20Pro,5712,571.1,4.308,5703,medium,vbox,medium,False,False,True,0.924
E,S-Vtb3_s00,S-Vtb3,,HuaweiP20Pro,8240,823.9,0.671,8226,medium,vbox,medium,False,False,True,1.424
E,S-Vw11_s00,S-Vw11,,HuaweiP20Pro,4909,490.8,5.827,4893,high,vbox,high,True,True,True,-1.6
E,S-Vw14c_s00,S-Vw14c,,HuaweiP20Pro,15826,1582.5,17.043,15806,medium,vbox,medium,True,False,True,-1.984
E,S-Vw17_s00,S-Vw17,,HuaweiP20Pro,329,32.8,0.511,313,medium,vbox,medium,False,True,False,-1.603
E,S-Vw2_s00,S-Vw2,,HuaweiP20Pro,52713,5271.2,98.576,52693,medium,vbox,medium,True,True,True,-1.885
E,S-Vw3_s00,S-Vw3,,HuaweiP20Pro,3861,386.0,4.935,3857,high,vbox,high,True,False,True,-0.4
E,S-Vw4_s00,S-Vw4,,HuaweiP20Pro,126526,12652.5,214.368,126523,medium,vbox,medium,True,False,True,-0.304
E,S-Vw5_s00,S-Vw5,,HuaweiP20Pro,1012,101.1,0.638,981,high,vbox,high,True,True,False,-3.1
E,S-Vw6_s00,S-Vw6,,HuaweiP20Pro,1281,128.0,1.078,1271,high,vbox,high,True,False,False,1.0
E,S-Vw9_s00,S-Vw9,,HuaweiP20Pro,552,55.1,0.416,545,high,vbox,high,True,True,False,-0.7
