session_id,dataset_id,driver,vehicle,phone,split,rows,duration_s,distance_km,target_rows,conf,source,sync_conf,gyro_tf,acc_tf,has_bias,lag_s
S-S1_s00,S-S1,A,FordFiestaTitanium,HuaweiP20Pro,train,51746,5174.5,37.947,51744,high,vbox,high,True,True,True,-0.2
S-S2_s00,S-S2,A,FordFiestaTitanium,HuaweiP20Pro,train,1864,186.3,0.41,1788,high,vbox,high,True,True,True,-7.6
S-S2_s01,S-S2,A,FordFiestaTitanium,HuaweiP20Pro,train,92012,9201.1,74.961,91925,high,vbox,high,True,False,True,-8.7
S-S3a_s00,S-S3a,A,FordFiestaTitanium,HuaweiP20Pro,validation,24621,2462.0,25.876,24554,high,vbox,high,True,False,True,6.7
S-S3b_s00,S-S3b,A,FordFiestaTitanium,HuaweiP20Pro,train,2043,204.2,1.117,2039,high,vbox,high,True,False,True,-0.4
S-S3b_s01,S-S3b,A,FordFiestaTitanium,HuaweiP20Pro,train,4770,476.9,2.646,4722,high,vbox,high,True,False,True,-4.8
S-S3c_s00,S-S3c,A,FordFiestaTitanium,HuaweiP20Pro,train,37183,3718.2,43.694,37178,high,vbox,high,True,False,True,-0.5
S-S4_s00,S-S4,A,FordFiestaTitanium,HuaweiP20Pro,train,35186,3518.5,27.815,35168,high,vbox,high,True,False,True,-1.8
S-M_s00,S-M,B,FordFiestaTitanium,HuaweiP20Pro,test,44226,4422.5,38.682,44217,high,vbox,high,True,False,True,-0.9
S-M_s01,S-M,B,FordFiestaTitanium,HuaweiP20Pro,test,61748,6176.0,66.421,61719,high,vbox,high,True,True,True,-2.9
S-Vta11_s00,S-Vta11,E,FordFiestaTitanium,HuaweiP20Pro,train,510,50.9,0.706,506,high,vbox,high,True,False,False,-0.4
S-Vta16_s00,S-Vta16,E,FordFiestaTitanium,HuaweiP20Pro,validation,11335,1133.4,13.623,11318,high,vbox,high,True,False,True,-1.7
S-Vta1a_s00,S-Vta1a,E,FordFiestaTitanium,HuaweiP20Pro,train,25676,2567.5,40.496,25538,high,vbox,high,True,True,True,13.8
S-Vta24_s00,S-Vta24,E,FordFiestaTitanium,HuaweiP20Pro,train,1171,117.0,0.683,1161,high,vbox,high,True,False,False,-1.0
S-Vta25_s00,S-Vta25,E,FordFiestaTitanium,HuaweiP20Pro,train,646,64.5,0.157,644,high,vbox,high,True,False,True,0.2
S-Vta2_s00,S-Vta2,E,FordFiestaTitanium,HuaweiP20Pro,validation,10991,1099.0,11.044,10983,high,vbox,high,True,True,True,-0.8
S-Vta3_s00,S-Vta3,E,FordFiestaTitanium,HuaweiP20Pro,train,645,64.4,0.172,443,high,vbox,high,True,False,True,20.2
S-Vta5_s00,S-Vta5,E,FordFiestaTitanium,HuaweiP20Pro,train,307,30.6,0.358,303,high,vbox,high,True,True,False,-0.4
S-Vta7_s00,S-Vta7,E,FordFiestaTitanium,HuaweiP20Pro,train,840,83.9,1.476,825,high,vbox,high,True,True,False,-1.5
S-Vtb12_s00,S-Vtb12,E,FordFiestaTitanium,HuaweiP20Pro,train,447,44.6,0.53,446,high,vbox,high,True,True,False,0.1
S-Vw11_s00,S-Vw11,E,FordFiestaTitanium,HuaweiP20Pro,validation,4909,490.8,5.827,4893,high,vbox,high,True,True,True,-1.6
S-Vw3_s00,S-Vw3,E,FordFiestaTitanium,HuaweiP20Pro,validation,3861,386.0,4.935,3857,high,vbox,high,True,False,True,-0.4
S-Vw5_s00,S-Vw5,E,FordFiestaTitanium,HuaweiP20Pro,train,1012,101.1,0.638,981,high,vbox,high,True,True,False,-3.1
S-Vw6_s00,S-Vw6,E,FordFiestaTitanium,HuaweiP20Pro,train,1281,128.0,1.078,1271,high,vbox,high,True,False,False,1.0
S-Vw9_s00,S-Vw9,E,FordFiestaTitanium,HuaweiP20Pro,train,552,55.1,0.416,545,high,vbox,high,True,True,False,-0.7
